,road,lrp,chainage,length,condition,lat,lon,Time to Repair,Entity Destination Type,Node Name,Failure Type,Uptime Between Failures
49,N1,LRP016a,15.935,,,23.6604167,90.5671104,0.0,Specific,LRP016b,No Failures,0
50,N1,LRP016b,16.242,,,23.6591111,90.5697216,0.0,Specific,LRP016c,No Failures,0
51,N1,LRP016c,16.402,,,23.658305600000002,90.5709993,0.0,Specific,LRP017,No Failures,0
52,N1,LRP017,16.524,,,23.6575,90.57197159999998,0.0,Specific,LRP017a,No Failures,0
53,N1,LRP017a,16.831,,,23.655972199999997,90.5743327,0.0,Specific,LRP017b,No Failures,0
54,N1,LRP017b,16.852,,,23.6559167,90.5745271,0.0,Specific,LRP017b,No Failures,0
55,N1,LRP017b,17.134,159.5,B,23.6544257051136,90.576730225,"Uniform(0.75, 1.5)",Specific,LRP017c,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
56,N1,LRP017c,17.204,,,23.6540556,90.57727709999999,0.0,Specific,LRP017d,No Failures,0
57,N1,LRP017d,17.234,,,23.6539167,90.5774993,0.0,Specific,LRP018,No Failures,0
58,N1,LRP018,17.524,,,23.6525278,90.5798882,0.0,Specific,LRP018a,No Failures,0
59,N1,LRP018a,17.722,20.0,B,23.6515705663716,90.5814943946902,"Uniform(0.25, 1)",Specific,LRP018a,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
60,N1,LRP018a,17.722,20.0,B,23.6515705663716,90.5814943946902,"Uniform(0.25, 1)",Specific,LRP018a,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
61,N1,LRP018a,17.863,,,23.650888899999998,90.5826382,0.0,Specific,LRP018b,No Failures,0
62,N1,LRP018b,17.904,,,23.6506944,90.5829993,0.0,Specific,LRP018c,No Failures,0
63,N1,LRP018c,18.093,24.5,B,23.6497543993548,90.5845490085483,"Uniform(0.25, 1)",Specific,LRP018c,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
64,N1,LRP018c,18.093,24.5,B,23.6497543993548,90.5845490085483,"Uniform(0.25, 1)",Specific,LRP019,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
65,N1,LRP019,18.524,,,23.647610800000002,90.588083,0.0,Specific,LRP019a,No Failures,0
66,N1,LRP019a,18.742,40.5,B,23.6459685949152,90.5892119813559,"Uniform(0.25, 1)",Specific,LRP019a,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
67,N1,LRP019a,18.742,40.5,C,23.6459685949152,90.5892119813559,"Uniform(0.25, 1)",Specific,LRP019a,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
68,N1,LRP019a,18.878,,,23.644944100000004,90.5899163,0.0,Specific,LRP019b,No Failures,0
69,N1,LRP019b,19.521,,,23.6397497,90.5926941,0.0,Specific,LRP020,No Failures,0
70,N1,LRP020,19.524,,,23.639694100000003,90.5927219,0.0,Specific,LRP020a,No Failures,0
71,N1,LRP020a,19.76,6.0,A,23.6379543715384,90.5936673976923,"Uniform(1/6, 1/3)",Specific,LRP020a,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
72,N1,LRP020a,20.044,,,23.6358608,90.5948052,0.0,Specific,LRP020b,No Failures,0
73,N1,LRP020b,20.342,,,23.634110800000002,90.59702740000002,0.0,Specific,LRP020b,No Failures,0
74,N1,LRP020b,20.397,10.4,B,23.63380522,90.597394085,"Uniform(0.25, 1)",Specific,LRP020c,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
75,N1,LRP020c,20.442,,,23.6335552,90.5976941,0.0,Specific,LRP021,No Failures,0
76,N1,LRP021,20.524,,,23.6330549,90.59827740000001,0.0,Specific,LRP021c,No Failures,0
77,N1,LRP021c,21.184,89.2,A,23.6284668507692,90.6023015723077,"Uniform(0.75, 1.5)",Specific,LRP021a,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
78,N1,LRP021a,21.499000000000002,,,23.6262771,90.60422220000001,0.0,Specific,LRP022,No Failures,0
79,N1,LRP022,21.629,,,23.625221600000003,90.6049722,0.0,Specific,LRP022a,No Failures,0
80,N1,LRP022a,21.765,,,23.624221600000002,90.60552779999999,0.0,Specific,LRP022b,No Failures,0
81,N1,LRP022b,21.993000000000002,,,23.6224993,90.6066944,0.0,Specific,LRP022c,No Failures,0
82,N1,LRP022c,22.252,,,23.620471600000002,90.6079722,0.0,Specific,LRP022a,No Failures,0
83,N1,LRP022a,22.328,5.5,B,23.6198832229508,90.6083528852459,"Uniform(1/6, 1/3)",Specific,LRP022d,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
84,N1,LRP022d,22.374000000000002,,,23.6195271,90.60858329999999,0.0,Specific,LRP023a,No Failures,0
85,N1,LRP023a,22.596,213.5,B,23.6176407964705,90.6095506105882,"Triangular(1, 2, 4)",Specific,LRP023a,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
86,N1,LRP023a,22.596,224.8,A,23.6176407964705,90.6095506105882,"Triangular(1, 2, 4)",Specific,LRP023,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
87,N1,LRP023,22.629,,,23.6173604,90.6096944,0.0,Specific,LRP023c,No Failures,0
88,N1,LRP023c,23.081,120.1,A,23.613587384385,90.6109029561497,"Uniform(0.75, 1.5)",Specific,LRP023c,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
89,N1,LRP023c,23.081,116.8,B,23.613587384385,90.6109029561497,"Uniform(0.75, 1.5)",Specific,LRP023a,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
90,N1,LRP023a,23.564,,,23.6095556,90.6121944,0.0,Specific,LRP024,No Failures,0
91,N1,LRP024,23.629,,,23.609,90.61247220000001,0.0,Specific,LRP024a,No Failures,0
92,N1,LRP024a,24.393,900.0,C,23.6027595885583,90.6155316965675,"Triangular(1, 2, 4)",Specific,LRP024a,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
93,N1,LRP024a,24.503,,,23.6018611,90.6159722,0.0,Specific,LRP025,No Failures,0
94,N1,LRP025,24.629,,,23.6009444,90.6165556,0.0,Specific,LRP026,No Failures,0
95,N1,LRP026,25.629,,,23.5959997,90.624666,0.0,Specific,LRP026a,No Failures,0
96,N1,LRP026a,25.639,,,23.5959441,90.6246938,0.0,Specific,LRP026a,No Failures,0
97,N1,LRP026a,26.115,5.6,A,23.5929818827893,90.6279699370919,"Uniform(1/6, 1/3)",Specific,LRP026b,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
98,N1,LRP026b,26.313000000000002,,,23.5917497,90.6293327,0.0,Specific,LRP026b,No Failures,0
99,N1,LRP026b,26.452,5.5,A,23.5908088547468,90.6302368598101,"Uniform(1/6, 1/3)",Specific,LRP027,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
100,N1,LRP027,26.629,,,23.5896108,90.6313882,0.0,Specific,LRP027a,No Failures,0
101,N1,LRP027a,27.12,5.6,A,23.58631812254,90.6345094207093,"Uniform(1/6, 1/3)",Specific,LRP027a,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
102,N1,LRP027a,27.503,,,23.583749700000002,90.6369441,0.0,Specific,LRP028,No Failures,0
103,N1,LRP028,27.629,,,23.582832699999997,90.6378886,0.0,Specific,LRP028a,No Failures,0
104,N1,LRP028a,27.668000000000003,,,23.5825827,90.63813859999999,0.0,Specific,LRP028a,No Failures,0
105,N1,LRP028a,28.315,163.5,A,23.5779800248475,90.6419193089939,"Uniform(0.75, 1.5)",Specific,LRP028b,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
106,N1,LRP028b,28.324,,,23.577916000000002,90.6419719,0.0,Specific,LRP028c,No Failures,0
107,N1,LRP028c,28.363000000000003,,,23.577610399999998,90.6421108,0.0,Specific,LRP029,No Failures,0
108,N1,LRP029,28.759,,,23.5745271,90.6436941,0.0,Specific,LRP029a,No Failures,0
109,N1,LRP029a,29.066999999999997,,,23.572166,90.6451108,0.0,Specific,LRP029b,No Failures,0
110,N1,LRP029b,29.113000000000003,,,23.571832699999998,90.6453052,0.0,Specific,LRP029a,No Failures,0
111,N1,LRP029a,29.138,29.0,A,23.5716306256965,90.6454159236842,"Uniform(0.25, 1)",Specific,LRP029a,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
112,N1,LRP029a,29.138,29.0,A,23.5716306256965,90.6454159236842,"Uniform(0.25, 1)",Specific,LRP030,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
113,N1,LRP030,29.759,,,23.5666111,90.6481663,0.0,Specific,LRP030a,No Failures,0
114,N1,LRP030a,29.842,34.7,A,23.5660033956521,90.6486237247282,"Uniform(0.25, 1)",Specific,LRP030a,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
115,N1,LRP030a,30.127,,,23.5639167,90.6501944,0.0,Specific,LRP030b,No Failures,0
116,N1,LRP030b,30.165,,,23.5636944,90.65047220000001,0.0,Specific,LRP030c,No Failures,0
117,N1,LRP030c,30.697,,,23.560416699999998,90.6542222,0.0,Specific,LRP030d,No Failures,0
118,N1,LRP030d,30.735,,,23.5602222,90.6545,0.0,Specific,LRP031,No Failures,0
119,N1,LRP031,30.774,,,23.559972199999997,90.6548056,0.0,Specific,LRP031a,No Failures,0
120,N1,LRP031a,30.908,26.3,B,23.5591910296296,90.6557475703703,"Uniform(0.25, 1)",Specific,LRP031a,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
121,N1,LRP031a,30.908,26.3,A,23.5591910296296,90.6557475703703,"Uniform(0.25, 1)",Specific,LRP031a,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
122,N1,LRP031a,30.936,,,23.559027800000003,90.6559444,0.0,Specific,LRP031b,No Failures,0
123,N1,LRP031b,31.348000000000003,,,23.5564444,90.6588611,0.0,Specific,LRP031c,No Failures,0
124,N1,LRP031c,31.388,,,23.556222199999997,90.6591389,0.0,Specific,LRP032a,No Failures,0
125,N1,LRP032a,31.472,29.0,A,23.5557082901265,90.6597414245569,"Uniform(0.25, 1)",Specific,LRP032a,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
126,N1,LRP032a,31.472,29.0,A,23.5557082901265,90.6597414245569,"Uniform(0.25, 1)",Specific,LRP032,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
127,N1,LRP032,31.783,,,23.5538056,90.66197220000001,0.0,Specific,LRP032a,No Failures,0
128,N1,LRP032a,32.025,,,23.5523333,90.66366670000001,0.0,Specific,LRP032d,No Failures,0
129,N1,LRP032d,32.121,28.9,A,23.5517421907216,90.6643538752577,"Uniform(0.25, 1)",Specific,LRP032d,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
130,N1,LRP032d,32.121,28.9,A,23.5517421907216,90.6643538752577,"Uniform(0.25, 1)",Specific,LRP033,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
131,N1,LRP033,32.607,,,23.548749700000002,90.6678327,0.0,Specific,LRP033a,No Failures,0
132,N1,LRP033a,32.777,9.1,A,23.5477377446428,90.6690554098214,"Uniform(1/6, 1/3)",Specific,LRP033b,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
133,N1,LRP033b,32.796,5.2,A,23.5476246437499,90.669192065625,"Uniform(1/6, 1/3)",Specific,LRP033a,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
134,N1,LRP033a,32.830999999999996,,,23.5474163,90.6694438,0.0,Specific,LRP033b,No Failures,0
135,N1,LRP033b,32.908,,,23.5469441,90.6699993,0.0,Specific,LRP033c,No Failures,0
136,N1,LRP033c,33.351,,,23.544221899999997,90.6731104,0.0,Specific,LRP034a,No Failures,0
137,N1,LRP034a,33.591,72.49,A,23.54268543125,90.6748292125,"Uniform(0.75, 1.5)",Specific,LRP034b,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
138,N1,LRP034b,33.591,59.83,A,23.54268543125,90.6748292125,"Uniform(0.75, 1.5)",Specific,LRP034a,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
139,N1,LRP034a,33.591,70.0,A,23.54268543125,90.6748292125,"Uniform(0.75, 1.5)",Specific,LRP034a,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
140,N1,LRP034a,33.591,59.2,A,23.54268543125,90.6748292125,"Uniform(0.75, 1.5)",Specific,LRP034,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
141,N1,LRP034,33.607,,,23.542583,90.6749438,0.0,Specific,LRP034c,No Failures,0
142,N1,LRP034c,34.111,5.1,C,23.5393910168,90.6784577888,"Uniform(1/6, 1/3)",Specific,LRP035,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
143,N1,LRP035,34.607,,,23.5362497,90.681916,0.0,Specific,LRP035a,No Failures,0
144,N1,LRP035a,34.641,,,23.536082999999998,90.6821382,0.0,Specific,LRP035b,No Failures,0
145,N1,LRP035b,34.681,,,23.535860800000002,90.68236040000001,0.0,Specific,LRP035c,No Failures,0
146,N1,LRP035c,34.955999999999996,,,23.534138600000002,90.6843052,0.0,Specific,LRP035a,No Failures,0
147,N1,LRP035a,35.181,9.5,A,23.5327751898617,90.6858701078341,"Uniform(1/6, 1/3)",Specific,LRP036a,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
148,N1,LRP036a,35.408,24.5,B,23.5313996605222,90.68744892596,"Uniform(0.25, 1)",Specific,LRP036a,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
149,N1,LRP036a,35.408,24.5,B,23.5313996605222,90.68744892596,"Uniform(0.25, 1)",Specific,LRP036,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
150,N1,LRP036,35.607,,,23.5301938,90.688833,0.0,Specific,LRP036c,No Failures,0
151,N1,LRP036c,35.707,8.4,A,23.5301519626506,90.6897951837349,"Uniform(1/6, 1/3)",Specific,LRP036a,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
152,N1,LRP036a,36.271,,,23.529916,90.6952219,0.0,Specific,LRP037,No Failures,0
153,N1,LRP037,36.607,,,23.5301382,90.6984997,0.0,Specific,LRP037a,No Failures,0
154,N1,LRP037a,37.01,1408.8,C,23.5303844733,90.7024402743,"Triangular(1, 2, 4)",Specific,LRP038,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
155,N1,LRP038,37.607,,,23.5307493,90.70827779999999,0.0,Specific,LRP038a,No Failures,0
156,N1,LRP038a,37.685,,,23.5307771,90.70902779999999,0.0,Specific,LRP038b,No Failures,0
157,N1,LRP038b,38.04,,,23.5313882,90.7153611,0.0,Specific,LRP038c,No Failures,0
158,N1,LRP038c,38.466,,,23.531471600000003,90.71722159999999,0.0,Specific,LRP038d,No Failures,0
159,N1,LRP038d,38.543,,,23.5315271,90.7173604,0.0,Specific,LRP038e,No Failures,0
160,N1,LRP038e,38.56,,,23.531582699999998,90.7176104,0.0,sink_N1,LRP039,No Failures,0
161,N1,LRP039,38.607,,,23.5317216,90.7180271,0.0,Specific,LRP039a,No Failures,0
162,N1,LRP039a,39.12,,,23.532234600000002,90.7226298386,0.0,Specific,LRP040b,No Failures,0
163,N1,LRP040b,39.304,21.8,C,23.5324186,90.7242807234,"Uniform(0.25, 1)",Specific,LRP040,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
164,N1,LRP040,39.607,,,23.532721600000002,90.7269993,0.0,Specific,LRP040c,No Failures,0
165,N1,LRP040c,39.86,6.0,B,23.5317587831999,90.7291780095,"Uniform(1/6, 1/3)",Specific,LRP041,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
166,N1,LRP041,40.607,,,23.528916,90.7356108,0.0,Specific,LRP042,No Failures,0
167,N1,LRP042,41.261,,,23.528999300000002,90.7419441,0.0,Specific,LRP042a,No Failures,0
168,N1,LRP042a,42.228,,,23.5293882,90.75141670000001,0.0,Specific,LRP042b,No Failures,0
169,N1,LRP042b,42.245,,,23.5293882,90.7515833,0.0,Specific,LRP043,No Failures,0
170,N1,LRP043,42.269,,,23.529416,90.75175,0.0,Specific,LRP043a,No Failures,0
171,N1,LRP043a,42.936,16.5,C,23.5298050611,90.75825325,"Uniform(0.25, 1)",Specific,LRP044,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
172,N1,LRP044,43.269,,,23.5299993,90.7615,0.0,Specific,LRP045,No Failures,0
173,N1,LRP045,44.269,,,23.5304438,90.77130490000002,0.0,Specific,LRP045a,No Failures,0
174,N1,LRP045a,44.45399999999999,,,23.530499300000002,90.77311040000001,0.0,Specific,LRP046a,No Failures,0
175,N1,LRP046a,45.164,3.9,C,23.5307655282208,90.7800797251533,"Uniform(1/6, 1/3)",Specific,LRP046,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
176,N1,LRP046,45.269,,,23.5308049,90.7811104,0.0,Specific,LRP046a,No Failures,0
177,N1,LRP046a,45.321999999999996,,,23.5307493,90.7816104,0.0,Specific,LRP046b,No Failures,0
178,N1,LRP046b,45.388000000000005,,,23.530666,90.7821938,0.0,Specific,LRP046c,No Failures,0
179,N1,LRP046c,46.161,,,23.531221600000002,90.78955520000001,0.0,Specific,LRP047,No Failures,0
180,N1,LRP047,46.269,,,23.531166,90.79072190000001,0.0,Specific,LRP047a,No Failures,0
181,N1,LRP047a,46.871,6.5,C,23.5308683409424,90.7918075171727,"Uniform(1/6, 1/3)",Specific,LRP047a,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
182,N1,LRP047a,47.224,,,23.530693799999998,90.7924441,0.0,Specific,LRP048,No Failures,0
183,N1,LRP048,47.269,,,23.530860399999998,90.80022220000001,0.0,Specific,LRP048a,No Failures,0
184,N1,LRP048a,47.672,,,23.5308882,90.80413890000001,0.0,Specific,LRP048b,No Failures,0
185,N1,LRP048b,47.692,,,23.530916,90.8043611,0.0,Specific,LRP049,No Failures,0
186,N1,LRP049,48.269,,,23.5316382,90.8099167,0.0,Specific,LRP049a,No Failures,0
187,N1,LRP049a,48.384,15.9,C,23.5318234765,90.8110155135,"Uniform(0.25, 1)",Specific,LRP050,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
188,N1,LRP050,49.269,,,23.5332493,90.81947159999999,0.0,Specific,LRP050a,No Failures,0
189,N1,LRP050a,49.863,,,23.5346663,90.82497159999998,0.0,Specific,LRP050b,No Failures,0
190,N1,LRP050b,49.879,,,23.534721899999997,90.8251104,0.0,Specific,LRP051,No Failures,0
191,N1,LRP051,50.269,,,23.5344997,90.8287216,0.0,Specific,LRP051a,No Failures,0
192,N1,LRP051a,50.558,12.2,A,23.5329743291,90.8309774761999,"Uniform(0.25, 1)",Specific,LRP052,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
193,N1,LRP052,51.269,,,23.529221600000003,90.83652740000001,0.0,Specific,LRP052a,No Failures,0
194,N1,LRP052a,51.636,,,23.5270549,90.8391386,0.0,Specific,LRP053,No Failures,0
195,N1,LRP053,52.269,,,23.523166,90.8438886,0.0,Specific,LRP053a,No Failures,0
196,N1,LRP053a,52.313,4.5,C,23.5229166652,90.8442186132,"Uniform(1/6, 1/3)",Specific,LRP054,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
197,N1,LRP054,53.269,,,23.5174993,90.8513889,0.0,Specific,LRP055,No Failures,0
198,N1,LRP055,54.269,,,23.5170827,90.8607778,0.0,Specific,LRP056,No Failures,0
199,N1,LRP056,55.269,,,23.5135833,90.8697771,0.0,Specific,LRP056a,No Failures,0
200,N1,LRP056a,55.333,,,23.513305600000002,90.87030490000001,0.0,Specific,LRP056b,No Failures,0
201,N1,LRP056b,55.375,,,23.5131111,90.8706382,0.0,Specific,LRP056c,No Failures,0
202,N1,LRP056c,55.477,,,23.512666699999997,90.871416,0.0,Specific,LRP056a,No Failures,0
203,N1,LRP056a,56.006,28.9,B,23.510087758207,90.8757204035353,"Uniform(0.25, 1)",Specific,LRP057,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
204,N1,LRP057,56.269,,,23.508805600000002,90.8778604,0.0,Specific,LRP058,No Failures,0
205,N1,LRP058,57.269,,,23.506,90.8869163,0.0,Specific,LRP058a,No Failures,0
206,N1,LRP058a,58.191,,,23.5056111,90.89588859999999,0.0,Specific,LRP059,No Failures,0
207,N1,LRP059,58.269,,,23.5056389,90.8966108,0.0,Specific,LRP059a,No Failures,0
208,N1,LRP059a,58.838,5.9,B,23.5060024341,90.9021745389,"Uniform(1/6, 1/3)",Specific,LRP060,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
209,N1,LRP060,59.269,,,23.506277800000003,90.90638890000001,0.0,Specific,LRP060a,No Failures,0
210,N1,LRP060a,60.18,,,23.50575,90.91525,0.0,Specific,LRP061,No Failures,0
211,N1,LRP061,60.269,,,23.505722199999997,90.9160278,0.0,Specific,LRP061a,No Failures,0
212,N1,LRP061a,60.83,3.0,B,23.5056131416,90.9214660218,"Uniform(1/6, 1/3)",Specific,LRP062,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
213,N1,LRP062,61.269,,,23.505527800000003,90.92572159999999,0.0,Specific,LRP063,No Failures,0
214,N1,LRP063,62.269,,,23.5042778,90.9354163,0.0,Specific,LRP063a,No Failures,0
215,N1,LRP063a,62.278,,,23.504333300000003,90.93547190000001,0.0,Specific,LRP063b,No Failures,0
216,N1,LRP063b,62.542,,,23.5038611,90.9371386,0.0,Specific,LRP063c,No Failures,0
217,N1,LRP063c,62.894,,,23.5028611,90.9412774,0.0,Specific,LRP064a,No Failures,0
218,N1,LRP064a,63.098,6.0,B,23.5024077848,90.9432418928,"Uniform(1/6, 1/3)",Specific,LRP064,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
