,Road,LRPName,Description,Chainage,Length,Cat,Lat,Lon
61,N1,LRP051a,RAIPUR BOX CULVERT,50.558,12.2,A,23.5329743291,90.8309774761999
62,N1,LRP053a,AITAL BANGA BOX CULVERT,52.313,4.5,C,23.5229166652,90.8442186132
63,N1,LRP056a,ILLIOT BAZER,56.006,28.9,B,23.510087758207,90.8757204035353
64,N1,LRP059a,KHAT GHOR BOX CULVERT,58.838,5.9,B,23.5060024341,90.9021745389
65,N1,LRP061a,BAKRA BOX CULVERT,60.83,3.0,B,23.5056131416,90.9214660218
66,N1,LRP064a,MATIA BAZER,63.098,6.0,B,23.5024077848,90.9432418928
67,N1,LRP064c,SONAPUR BOX CULVERT,63.538,3.0,A,23.5013551924,90.9473844088999
68,N1,LRP067a,KARON KHAL SLAB CULVERT,66.178,4.6,B,23.495896314,90.9715772516
69,N1,LRP068a,MILL GHAT BOX CULVERT,68.04,4.5,A,23.4932728146,90.9887200416
70,N1,LRP072a,CHANDINA- SHAHA PARA RCC GIDER GRIDGE,71.156,23.1,C,23.4868805937254,91.017566692647
71,N1,LRP072a,Chandinan-Shahapara Bridge.,71.156,22.55,C,23.4868805937254,91.017566692647
72,N1,LRP075a,CORI PAI BOX CULVERT,74.279,4.6,B,23.4817873233065,91.0463348850746
73,N1,LRP076a,COREPAI BOX CULVERT,75.312,4.6,B,23.4817498298684,91.0563549686842
74,N1,LRP077a,NIMSHAR SLAB CULVERT,76.481,1.5,A,23.480613086,91.0674097692
75,N1,LRP079a,KABILA DUBARCHAR SLAB CULVERT,78.382,1.0,C,23.4776722851,91.0847406393
76,N1,LRP081a,NAZIRA BOX CULVERT,80.949,3.0,B,23.4781159049382,91.1070332074074
77,N1,LRP083a,TIPRA BAZAR BOX CULVERT,82.437,1.4,A,23.4794083880733,91.1238920825688
78,N1,LRP083b,AMTOLI SLAB CULVERT,82.989,2.9,A,23.479544924,91.129047144
79,N1,LRP088a,DHANPUR RCC GIDER BRIDGE,87.713,23.4,A,23.4436339598272,91.1493668151188
80,N1,LRP088a,Dhanpur Bridge,87.713,22.85,C,23.4436339598272,91.1493668151188
81,N1,LRP092a,PADUAR BAZER RCCGIDER,91.092,35.9,B,23.4212487704918,91.1678943372365
82,N1,LRP094a,Mostapur Bridge,93.6,27.35,C,23.4119324230158,91.1939029849206
83,N1,LRP094a,MOSTAPUR RCC GIDER BRIDGE,93.6,27.9,B,23.4119324230158,91.1939029849206
84,N1,LRP098a,RAZAPARA RCC GIDER BRIDGE,97.257,27.9,A,23.3976518197887,91.2234221346859
85,N1,LRP098a,Matigara Bridge,97.257,27.35,C,23.3976518197887,91.2234221346859
86,N1,LRP101a,SUAGAZI RCC GIDER BRIDGE,100.938,30.4,A,23.3713647755,91.2450175414999
87,N1,LRP104a,LAL BAG RCC GIDER BRIDGE,103.456,22.8,C,23.3521636774381,91.2572910746724
88,N1,LRP105a,CHANSIRI BOXCUIVERT,104.753,14.3,A,23.342671472,91.264485636
89,N1,LRP107a,MIABAZAR BOX CULVERT,106.519,24.0,A,23.3301462324,91.2748792824
90,N1,LRP109a,NOYA BAZER BOX CULVERT,108.125,9.2,A,23.3180696869138,91.2830867321701
91,N1,LRP110a,DOLL BARI CULVERT,109.289,19.2,B,23.3083612731261,91.2865787034735
92,N1,LRP110c,DHARMA PUR SLAB CULVERT,109.897,2.6,B,23.3034306450331,91.2889770397351
93,N1,LRP111a,LALGORE BEZER CULVERT,110.551,3.2,A,23.2979675271676,91.2910141369942
94,N1,LRP112a,SUPUYA BOX CULVERT,111.509,13.4,A,23.2897066386454,91.2929584711155
95,N1,LRP113a,BOWCHI BAZAR CULVERT,112.469,4.6,B,23.2821949258397,91.2966655096899
96,N1,LRP114a,AMAN GONG SLAB CULVERT,113.717,6.3,B,23.27301895,91.3029661882
97,N1,LRP116a,RANGAMATIA (1) BOX CULVERT,115.052,3.0,B,23.2618360940594,91.3070217386138
98,N1,LRP116b,RANGOWATIA 2 CULVERT,115.326,3.0,B,23.25941665,91.3073611
99,N1,LRP116c,NOWA PARA BOX CULVERT,115.525,3.6,B,23.2576429774881,91.3076156494075
100,N1,LRP117a,HARISHARDE CULVERT,116.074,4.5,B,23.2527463398104,91.3083926405213
101,N1,LRP118a,SONAGATI BOX CULVERT,117.087,2.5,B,23.2443915125925,91.3114032292592
102,N1,LRP118b,BALUJURI BOX CULVERT,117.269,19.2,B,23.2429040619631,91.3119739539877
103,N1,LRP118d,BALUZURI 2 CULVERT,117.627,2.6,A,23.2397920309669,91.3125740860465
104,N1,LRP119a,KALIR BAZAR BOX CULVERT,118.049,2.5,A,23.2360759516523,91.3129901976744
105,N1,LRP119b,KALIA BAZER BOC CULVERT,118.856,3.1,B,23.2289195919642,91.3134220678571
106,N1,LRP120a,CHAUDDAGARAM BOX CULVERT,119.19,2.6,B,23.2259184472573,91.3135697177215
107,N1,LRP120b,CHADDAGRAM BAZAR BOX CULVERT,119.628,6.0,A,23.2220338977777,91.3137005933333
108,N1,LRP121b,HAYDAR POLE BOX CULVERT,120.634,14.3,B,23.2131955721448,91.3153497403899
109,N1,LRP122a,FALGUNCORA CULVERT,121.567,6.1,A,23.2050386287937,91.3163167282749
110,N1,LRP123a,ATTOCK GRAM BOX CULVERT,122.603,6.1,A,23.1961887953757,91.3176705069364
111,N1,LRP124a,BOSONTA PUR BOX CULVERT,123.681,6.1,C,23.1874350254302,91.3209051317399
112,N1,LRP125a,BASHONTA PUR (2),124.346,9.5,B,23.1817958149837,91.3208787514658
113,N1,LRP126a,NANKORA BOX CULVERT,125.41,3.1,B,23.1726272318681,91.3205774642857
114,N1,LRP127a,ANDAJER BAZER BOX CULVERT,126.448,9.5,A,23.1635138669191,91.3215889464646
115,N1,LRP128a,DIMATOLI (1) BOX CULVERT,127.673,6.3,B,23.1527364949367,91.3243178772152
116,N1,LRP129a,DIMATOLY (2) BOX CULVERT,128.767,3.5,B,23.1436667679334,91.3266680470308
117,N1,LRP130a,JAGARNATHPUR BOX CULVERT,129.291,6.1,B,23.1389893200345,91.3263585348877
118,N1,LRP131a,JAGOT PUR BOX CULVERT,129.955,3.0,B,23.1332639685968,91.327546416481
119,N1,LRP131b,HASO BOTHACH BOX CULVERT,130.912,6.5,A,23.1252363577777,91.3303863688888
120,N1,LRP132a,FOKIR BAZAR SLAB CULVERT,131.577,4.5,B,23.1196973774193,91.3328165129032
121,N1,LRP133a,KAKKARA CULVERT,132.079,5.3,B,23.1158251554,91.335094485
122,N1,LRP134a,Chanara Box Culvert,133.155,6.1,A,23.1074284451388,91.3400495436111
123,N1,LRP135a,CHANGARPULL(II) BOX CULVERT,133.873,3.1,B,23.1017563206521,91.343162998913
124,N1,LRP135b,ADONCORA,134.426,9.5,B,23.0973512527272,91.3454956309091
125,N1,LRP136a,PODOYA BOX CULVERT,134.974,3.1,A,23.0930298369186,91.3478308386627
126,N1,LRP136c,FOEALTPARA BOX CULVERT,135.723,9.25,B,23.0870753710144,91.3512101492753
127,N1,LRP137a,UTTOR KAIEATI CULVERT,136.375,3.5,A,23.0819909531309,91.3541811474383
128,N1,LRP137b,KOKALI BOX CULVERT,136.899,14.2,B,23.0779647046997,91.3566005031331
129,N1,LRP138a,DUTHOSHA BOX CULVERT,137.856,6.1,B,23.070198184,91.3603022
130,N1,LRP140a,MOHAMMAD ALI MAZAR,138.953,4.0,B,23.0607473333333,91.3618624619047
131,N1,LRP142a,FATAPUR BOX CULVERT,141.531,10.8,A,23.0379728055555,91.3656784724359
132,N1,LRP143a,DEBIPUR SLAB CULVERT,142.793,1.6,A,23.0269801170731,91.3655004839721
133,N1,LRP145a,CHARIPUR CULVERT.,144.939,3.4,A,23.0124048410423,91.3779796149837
134,N1,LRP148a,RAMPUR BOX CULVERT,147.296,1.5,A,22.999248756,91.3957752
135,N1,LRP149a,RAMPUR BRIDGE,148.151,23.4,A,22.9947280792802,91.4022894900763
136,N1,LRP149c,.,148.495,1.9,A,22.9927169359869,91.4047486961832
137,N1,LRP155a,Lemua Bridge(L),153.843,98.87,C,22.9614487369369,91.4429962027027
138,N1,LRP155a,LAMUA BRIDGE,153.843,94.05,B,22.9614487369369,91.4429962027027
139,N1,LRP159a,FAZAILPUR BOXCULVERT,158.031,1.5,A,22.9486038666666,91.4794993833333
140,N1,LRP161a,MUHURI BRIDGE,160.379,191.5,B,22.9496126090047,91.502066899526
141,N1,LRP161a,Muhuri Bridge(L),160.379,193.22,B,22.9496126090047,91.502066899526
142,N1,LRP166a,DumGhat Bridge(L),165.183,222.43,A,22.9149647061403,91.5262895350877
143,N1,LRP166a,DHOOM GHAT PC GIRDER,165.183,220.6,B,22.9149647061403,91.5262895350877
144,N1,LRP166c,BUMGAT BOXCULVERT,165.825,6.1,A,22.9097128884012,91.5289285034482
145,N1,LRP167a,BOROYAR PARA SLUB CULVERT,166.479,3.0,A,22.9042462955223,91.5316297776119
146,N1,LRP169a,BAROYARHAT BOX CULVERT,167.963,3.0,A,22.8916386,91.5354719
147,N1,LRP171a,UTTOR SONAPAR BOX CULVERT,169.933,4.3,A,22.8746986941176,91.5408836647058
148,N1,LRP171b,CHAIRMEN BARI BOX CULVERT,170.174,2.0,A,22.872722034892,91.5415958766187
149,N1,LRP171c,MADDAM SONAPAR(1) BOX CULVERT,170.725,1.5,A,22.8680563702127,91.5432963340425
150,N1,LRP172a,DHARBAR TILA CULVERT,171.554,4.3,A,22.8609876872509,91.5451551717131
151,N1,LRP172b,MADDUM SONAPHAR-3,171.728,2.0,A,22.8594847882591,91.5454799987854
152,N1,LRP173a,MAMAFOUN ASTANA CULVERT,172.122,1.5,A,22.8560565672727,91.5457188709091
153,N1,LRP173b,MAMAFAKIR ASTANA SLAB CULVERT,172.23,1.5,A,22.8551475327433,91.5458221849557
154,N1,LRP174a,MASTANNAGOR BONCUL(1),172.969,8.5,A,22.8486172764705,91.5463706117647
155,N1,LRP174b,MUSTAU NOGAR(2),173.35,3.0,A,22.8453914894736,91.5474689210526
156,N1,LRP174c,MASTARI HAGOR 3 CULVERT,173.585,1.5,A,22.8434551375,91.54814955625
157,N1,LRP175a,MUSTAN NAGAR -4,173.859,3.0,A,22.8410943334277,91.5488096951841
158,N1,LRP175b,RAIPUR BOX CUL-1,174.804,3.0,A,22.8327467692419,91.5501035014577
159,N1,LRP176a,RAIPUR (2) BOX CULVERT,175.013,4.5,A,22.8309613422018,91.5505028545871
160,N1,LRP176b,PURPU DURGAPURE BOX CUL,175.785,12.4,C,22.8243706577981,91.5526915454128
161,N1,LRP179a,MUCHIPOOL CULVERT,177.247,9.5,B,22.811563437647,91.5562562129411
162,N1,LRP181a,MIRSARAI BOX CUL,179.363,4.5,A,22.7941813523326,91.5629612622718
163,N1,LRP182a,MIRAISORI BRIDGE,180.85,23.2,B,22.7821968918511,91.5691025661971
164,N1,LRP183b,Mirsorai(2) box culvert,181.825,6.0,A,22.774197092,91.5728737519999
165,N1,LRP184a,IANAINIPOL BOX CULVERT.,182.318,9.7,A,22.770251666098,91.5750905211087
166,N1,LRP185a,BOKIMTOLA BOX CULVERT,183.296,4.0,A,22.7630626913907,91.5804538821192
167,N1,LRP186a,VARTAKA BOX CULVERT,184.654,12.9,A,22.7535653245121,91.5886004236585
168,N1,LRP187a,VARTAGIA BOX CULVERT,185.058,3.0,A,22.7506393495689,91.5908840370689
169,N1,LRP187b,BOTHAGIA (-3) BOX CULVERT,185.842,8.1,B,22.7445136523437,91.5943998915364
170,N1,LRP190a,NIAZAMPUR BOX CULVERT,188.35,3.0,A,22.723316755473,91.6024331404452
171,N1,LRP191a,MIRJAPUR BOX CULVERT,189.058,3.0,A,22.7178243865384,91.6057623307692
172,N1,LRP191b,MIRZAPUR (2) BOX CULVERT,189.13,3.0,A,22.7172707342307,91.6061084846153
173,N1,LRP191c,ISAMATI BOX CULVERT,189.58,19.2,C,22.7138727382812,91.6082352218749
174,N1,LRP193a,DUKHIN UTHPAR BOX CULVERT,191.107,19.2,A,22.701816503937,91.6149734608923
175,N1,LRP194a,VANGGARPOL BOX CULVERT,192.408,4.2,A,22.6912517148148,91.6201690574074
176,N1,LRP195a,BORO KAMALDA BOX CULVERT,192.95,3.2,A,22.6868697647058,91.6220385823529
177,N1,LRP196a,TARAT BOX CULVERT,194.149,6.0,A,22.6769772991044,91.6268169453731
178,N1,LRP197a,Tarial Bazar Culvert,194.998,3.0,A,22.6699594391304,91.6293531695652
179,N1,LRP197b,MIRJA PUR (3) BOX CULVERT,195.501,3.0,A,22.6657838981081,91.6311293581081
180,N1,LRP198a,SATU DURUAR HAT BOX CULVERT,196.038,3.0,A,22.6615956814814,91.6335257425926
181,N1,LRP199a,RONA SORA CULVERT,196.925,3.1,A,22.6547124294117,91.6379261764705
182,N1,LRP199b,NUNA CHARA BOX CULVERT,197.39,4.6,A,22.6510709547445,91.6400341194647
183,N1,LRP199c,BOTTOL BOX CULVERT,197.846,12.4,A,22.6474561112311,91.6419171170626
184,N1,LRP201a,KACHAI PATH BOX CULVERT,199.279,3.0,A,22.636096590965,91.648209240657
185,N1,LRP201b,KACHAI POTTI BOX CULVERT,199.502,3.0,A,22.6343285718685,91.6492077265913
186,N1,LRP202a,EGOL PUR BOX CULVERT,200.277,3.0,A,22.6281666352941,91.6527578258312
187,N1,LRP202b,UTTOR SITAKONDO BAZAR BOX CULVERT,200.575,6.1,B,22.6258323373493,91.6541857554217
188,N1,LRP203a,SITAKUNDA SLAB,200.918,3.0,A,22.6230461711711,91.6554672531531
189,N1,LRP203b,MOHADAB PUR BOX CULVERT,201.52,3.0,A,22.6177563490118,91.6580589438735
190,N1,LRP204a,PURBOMOHADAB PUR SLAB CULVERT(L),201.999,4.6,A,22.6149899686274,91.6602670503268
191,N1,LRP204a,DULAHAJRA(R),201.999,4.6,A,22.6149899686274,91.6602670503268
192,N1,LRP205a,MADICAL MORE CULVERT,202.435,3.0,A,22.6117556741935,91.6625686731182
193,N1,LRP206a,DOKHIN MOHADEB PUR BOX CULVERT,203.457,2.95,A,22.6038394411764,91.6673745588235
194,N1,LRP206b,KALIAVA BOX CULVERT,203.651,4.5,B,22.6023506949579,91.6683367336134
195,N1,LRP206c,SKM BOX CULVERT(1),204.342,9.3,B,22.5971665766519,91.671819207489
196,N1,LRP207a,HATILOTA BOX CULVERT,204.765,4.5,A,22.5938881803921,91.6738889367647
197,N1,LRP208a,BAROCONDO BRIDGE,205.615,22.25,C,22.5870350167767,91.6770444686922
198,N1,LRP208d,BAROGINDO CULVERT,206.3,2.5,A,22.5815086746355,91.6795390413994
