,Road,LRPName,Description,Chainage,Length,Cat,Lat,Lon
265,N1,LRP268b,KANCHANAGAR CUL,272.356,14.0,A,22.2366345532374,92.0232647489208
266,N1,LRP269a,KHANCHANAGAR BADAMTOLA,273.008,12.6,B,22.2314978226851,92.0249656611111
267,N1,LRP269c,NORTH JOARA PAKKAR DOKAN,273.443,9.4,B,22.2260608528604,92.0264650356979
268,N1,LRP270a,GASBAREA BOX CULVERT,273.878,14.0,A,22.2222719897959,92.0273785979591
269,N1,LRP271a,GASBAREA COLLEGE BOX CULVERT,274.66,9.2,A,22.2155873504854,92.0290230394174
270,N1,LRP272a,MAZAR POINT BRIDGE,275.943,50.4,C,22.2071026538461,92.03633246993
271,N1,LRP272c,KHOLGHAR CUL,276.281,9.2,B,22.2049837597806,92.0383312340036
272,N1,LRP276a,NOYARHAT,280.299,12.3,B,22.1739178955307,92.0532925435754
273,N1,LRP279a,SANGO BRIDGE DOMAJAR,282.994,211.3,C,22.1586272806451,92.0682063096774
274,N1,LRP280a,KATGOR CULVERT,284.134,9.2,A,22.1498523145631,92.0696330718446
275,N1,LRP282a,MOULOVER DOKAN,285.58,12.4,A,22.1369522329341,92.0699301281437
276,N1,LRP282c,PATATR PULL CULVERT,286.08,15.4,A,22.1325208428571,92.0701565366459
277,N1,LRP282e,PATANER PULL(BRIDGE),286.378,34.6,A,22.1299160285714,92.0706024714285
278,N1,LRP283a,NOYAKHALAR MUK,286.631,28.0,A,22.1277338010309,92.0710012276288
279,N1,LRP283c,NOYAKHALARMUK,287.144,15.4,A,22.1230775989717,92.071701048329
280,N1,LRP283d,NOYA KHALAR MUK (KARANIERHAT) BOX CULVERT,287.487,20.4,A,22.1204875006655,92.0719705134775
281,N1,LRP284a,KARANERHAT CULVERT,288.329,5.0,A,22.1133524851063,92.0726869042553
282,N1,LRP286b,KARANERHAT CULVERT,289.889,7.2,A,22.09827857,92.074800422
283,N1,LRP287a,KOACHIA(MADARBHI),290.719,11.2,A,22.0935775004504,92.0805047995495
284,N1,LRP288a,MITADIGI ACADEMY,292.426,2.0,A,22.0840668315789,92.093196937799
285,N1,LRP289a,MITADIGI,293.134,12.6,A,22.080520608,92.0984855314285
286,N1,LRP291a,RAJGHATA BRIDGE,294.534,30.3,A,22.0695600813559,92.1042754237288
287,N1,LRP291c,THAKUR DIGI BOX CULVERT,294.77,2.0,A,22.0679099558303,92.1055530035335
288,N1,LRP291d,KHORIANAGAR BRIDGE,295.295,38.8,A,22.0637567157894,92.1071061094736
289,N1,LRP292a,NOYA PARA BOX CULVERT,295.625,2.5,A,22.06088615,92.10773337
290,N1,LRP292b,PODUA NOYA PARA BOX CULVERT,296.135,8.2,A,22.0565051155339,92.1090854592233
291,N1,LRP293a,PODUA BAZAR BOX CULVERT,296.647,12.6,A,22.0519296419354,92.1090613887096
292,N1,LRP293c,PODUA BAZAR BOX CULVERT,297.034,6.0,A,22.0483713234624,92.1081938519362
293,N1,LRP294a,BARO AWLIA(R),297.569,13.64,A,22.0440962566176,92.1070629529411
294,N1,LRP294c,TALOCKDNR PARA BOX CULVERT,298.405,2.5,A,22.0375898525773,92.1039891092783
295,N1,LRP294c,TALOCKDAR PARA,298.405,2.5,A,22.0375898525773,92.1039891092783
296,N1,LRP295a,AMIRABAD BOX CULVERT,299.057,2.5,A,22.031864884656,92.1041246666666
297,N1,LRP295b,AMIRABAD PC GIDER BRIDGE,299.434,68.8,A,22.0287013636363,92.1034293272727
298,N1,LRP296a,AMIRABAD LOHAGOR BOX CULVERT,299.756,2.0,A,22.0260045474972,92.1026967443826
299,N1,LRP296b,AMIRABAD LOHAGORA BOX CULVERT,300.406,10.0,A,22.0204980278439,92.1014277681473
300,N1,LRP298a,LOHAGORA L.S BOX CULVERT,302.237,3.0,A,22.0078200503225,92.0927765812903
301,N1,LRP299a,DIGIRPARK BOX CULVERT,302.729,12.6,A,22.0041726139784,92.0905686346236
302,N1,LRP299c,DIGIRPAR BOX CULVERT,303.237,6.2,A,22.00042964,92.0883193766666
303,N1,LRP300a,ZADUNAGOR FILLING BOX CULVERT,303.782,3.0,A,21.9958359641681,92.0874589126142
304,N1,LRP300b,ZADUNAPUR SHAPIR FILLING STATION -(2) BOX CULVERT,303.793,12.4,A,21.9957410021937,92.0874460645338
305,N1,LRP300d,KHASMOHAL ADUNAICR PC GIDER BRIDGE,304.217,58.8,A,21.9922334387096,92.0863582073732
306,N1,LRP301a,ZADUNAGOR BUS STATION BOX CULVERT,304.449,14.2,A,21.990280244375,92.08568596625
307,N1,LRP301b,Aadunagor bridge,304.857,24.2,A,21.9870408741379,92.0839943655172
308,N1,LRP302a,HATIAR PULL PC GIDER BRIDGE,305.527,22.5,A,21.9819040437735,92.080773326415
309,N1,LRP302c,HATIAR PULL BOX CULVERT,305.794,18.7,A,21.9804623633858,92.0788716271653
310,N1,LRP302e,SHIX DAR PARA BOX CULVERT,306.139,3.5,A,21.979298574269,92.0758492263157
311,N1,LRP303a,MUSKAMPANI PARA BOX CULVERT,307.229,2.5,A,21.9738684029498,92.0683204789577
312,N1,LRP304b,AODU NAGOR (2) BOX CULVERT,307.981,1.5,A,21.9689581196808,92.0641501117021
313,N1,LRP305a,RATAR KUL- SONTI BRIDGE,308.652,22.4,A,21.9622138572549,92.0633168764705
314,N1,LRP305c,BONPUKR PARA BOX CULVERT,309.038,8.2,A,21.9592401112903,92.0652791298387
315,N1,LRP306a,BON PUKUL PARA BOX CULVERT,309.355,3.0,A,21.9580321636363,92.0663932818182
316,N1,LRP306b,SANTI RCC GIDER BRIDGE,309.971,22.4,A,21.9520795406909,92.0678138084453
317,N1,LRP307a,SANTI BOX CULVERT,310.723,1.4,A,21.9453993720173,92.0669286609544
318,N1,LRP308a,BRICK FIELD BOX CULVERT,311.886,4.5,A,21.9360290154471,92.0625427235772
319,N1,LRP308b,BACK FILD BOX CULVERT,312.138,9.3,A,21.9339454415019,92.0616661541501
320,N1,LRP309a,AZIZNAGOR FOREST BOX CULVERT,312.354,4.5,A,21.9323086726114,92.0608009579617
321,N1,LRP309b,AZIZ NOGOR FOREST BOX CULVERT,312.609,4.7,A,21.93038125,92.0596840375
322,N1,LRP310a,AZIZNAGOR BOX CULVERT,313.947,2.0,A,21.9179119605128,92.0597362988034
323,N1,LRP310b,AZIZ NOGAR BOX CULVERT,314.144,3.0,A,21.9167591663366,92.0599899313531
324,N1,LRP311a,AZIZ NAGOR 1,314.502,4.0,A,21.9140727206278,92.0605472089686
325,N1,LRP311b,AZIZ NAGOR 2,315.009,9.2,A,21.909622912133,92.0605661266144
326,N1,LRP313b,HARBHANG CHOR,317.001,13.64,A,21.8910236519337,92.0597010756906
327,N1,LRP314a,GHOIL MARA BOX CULVERT,318.11,9.3,A,21.8812215213685,92.0590015447779
328,N1,LRP315a,HARBANG,318.796,3.0,A,21.8751197401574,92.0591098413385
329,N1,LRP316a,HARBANG,320.189,3.0,A,21.8628351415656,92.0594848712238
330,N1,LRP317a,HARBANGCHORA,320.513,56.4,A,21.8599725797297,92.0601907085585
331,N1,LRP318a,ALIPUR BOX CULVERT,321.305,14.3,A,21.8529287900552,92.0609576198894
332,N1,LRP318b,HARBANG,321.536,2.1,A,21.8508595323144,92.0609491344978
333,N1,LRP319a,HAR BAG BOX CULVERT,322.5,4.5,A,21.8429700741784,92.0635984638497
334,N1,LRP319b,HAR BAG BOX CULVERT,322.823,3.0,A,21.8403935683229,92.0649325472049
335,N1,LRP320a,ATKOTA,323.619,15.8,A,21.8341033152866,92.0682735910828
336,N1,LRP321a,AKOTA BAZAR BOX CULVERT,324.331,7.3,A,21.8280258214285,92.0713035547619
337,N1,LRP321b,BODOI TOLA RCC GIDER BRIDGE,324.607,46.0,A,21.8257831806122,92.0723466282313
338,N1,LRP321d,BODAITALI BOX CULVERT,325.153,12.4,A,21.8211428750483,92.0740201388781
339,N1,LRP322a,BODOITOLI BOX CULVERT,325.49,14.0,A,21.8181692602209,92.0739442353591
340,N1,LRP323b,BANIYAR CHORA,327.312,14.0,A,21.8034238025641,92.0772322128205
341,N1,LRP325a,NOL BELA-1 BOX CULVERT,329.084,20.6,A,21.787854008387,92.0788540064516
342,N1,LRP325c,NOL BELA BOX CULVERT,329.181,21.0,A,21.786997484,92.0789493159999
343,N1,LRP326a,NOLBELA BOX CULVERT,329.499,14.2,B,21.7841953311111,92.0792425355555
344,N1,LRP327a,DIDDA BAZAR BOX CULVERT,330.931,15.7,A,21.7735339222222,92.0839144733333
345,N1,LRP328a,MATHAMUHURI BRIDGE,331.259,300.0,C,21.7715943354948,92.0821099546075
346,N1,LRP331a,BANDI BAZAR BOX CULVERT,335.192,9.3,B,21.7401466184971,92.0826243745664
347,N1,LRP332a,KUMARIKOOL BOX CULVERT,335.38,14.0,A,21.7385629191489,92.0831876319149
348,N1,LRP332b,PASIYAKALI BOX CULVERT,336.054,5.2,A,21.7326068595588,92.0837488330882
349,N1,LRP332c,PASIYAKALI (2),336.237,38.8,A,21.7309878314917,92.0838156441988
350,N1,LRP333a,HASIRUGIGI,337.019,12.6,A,21.7240739341074,92.083544148476
351,N1,LRP335a,CHOHAJANYA (1),338.859,12.8,A,21.7092513759013,92.0806750603415
352,N1,LRP336a,CHOHAJANIYA (2),339.648,9.3,A,21.7028300370967,92.0786456251612
353,N1,LRP339a,JASJARI BRIDGE,342.77,59.6,A,21.676279289928,92.0768074748201
354,N1,LRP339c,DULAHAJARA (SAFARI PARK),343.243,14.0,A,21.6721049602836,92.0763992531915
355,N1,LRP340a,DULAHAJARA CULVERT,344.209,3.5,A,21.6629404415143,92.075071645953
356,N1,LRP341a,DULAHAJAR BRIDGE,344.531,54.4,A,21.6600543017045,92.0751025664772
357,N1,LRP342a,BOYRAGIR KHIL,345.592,61.0,C,21.6508560658227,92.0735619202531
358,N1,LRP342c,PAGOLARIBIL,345.911,4.5,A,21.6480847609561,92.0733292227091
359,N1,LRP345a,KHUTAKHALI,349.092,1.45,B,21.6225351880109,92.0737034768392
360,N1,LRP346a,khutakhali bazar,349.759,45.3,B,21.618376660401,92.0691713375939
361,N1,LRP347a,FULCHARI (NEWPARA),350.674,7.0,A,21.6065189670012,92.0623070695106
362,N1,LRP347b,FULCHARI (NEWPARA),350.99,5.2,A,21.6051753127979,92.0621198087829
363,N1,LRP348a,FULCHARI CULVERT,351.628,9.3,A,21.5985935301507,92.061801241206
364,N1,LRP348b,FULCHARI BAZAR,352.064,14.0,A,21.5960736973421,92.0614095408637
365,N1,LRP349a,NAPITE KHALI CULVERT,352.641,1.4,A,21.5894309740196,92.0630313509804
366,N1,LRP349b,NAPITE KHALI,353.162,4.5,C,21.5876028,92.0649047857142
367,N1,LRP350a,EAST NAPITL KHAL BOX CULVERT,353.694,2.5,A,21.5830741250341,92.0657158465116
368,N1,LRP351a,NAEK KHALI BOX CULVERT,354.739,12.4,A,21.5744075162901,92.0707446712247
369,N1,LRP352a,KHODIA BARI PRIMARY BOX CULVERT,356.261,9.5,A,21.5623201688888,92.0698139251851
370,N1,LRP353a,ISLAMABAD KHODIABARI BOX CULVERT,356.517,4.8,A,21.5603042595174,92.0691476
371,N1,LRP353b,ISLAMABAD KHODIA BARI BOX CULVERT,356.631,7.0,A,21.5594892512064,92.0689481
372,N1,LRP354a,EIDGAON BAZAR PC GIDER BRIDGE,357.264,46.0,A,21.5554256122448,92.0679503244898
373,N1,LRP354d,eidgaon,358.03,44.6,C,21.5470666065573,92.0668953754098
374,N1,LRP357a,SHAT GOREA PARA BOX CULVERT,360.345,14.0,A,21.5255297395348,92.0653252244186
375,N1,LRP357c,KALIRCHARA BOX CULVERT,360.551,8.0,A,21.5237332279069,92.0655747598837
376,N1,LRP357d,KALIRCHARA BAZAR BOX CULVERT,360.89,15.4,A,21.5207709407407,92.0661440629629
377,N1,LRP357f,KALIRCHAR,361.043,5.0,A,21.5195088091891,92.0666746302702
378,N1,LRP358a,RASHIDNAGAR,361.751,3.0,A,21.5137419731132,92.069340890566
379,N1,LRP358b,ROSHIDNAGAR CULVERT,362.168,2.5,A,21.5104396976562,92.0708606554687
380,N1,LRP359a,DOLERCHARA CULVERT,362.691,7.5,A,21.5065069274647,92.0733026419014
381,N1,LRP359b,DOLERCHARA CULVERT,362.889,12.4,A,21.5051319429577,92.0744452552816
382,N1,LRP360a,ROSHIDNAGAR (2),364.056,14.0,A,21.4957534922651,92.0776785856353
383,N1,LRP360c,"ROSHIDNAGAR U,R CULVERT",364.184,14.1,A,21.4948695143646,92.0783346952486
384,N1,LRP363b,JOARIANALA CULVERT,366.98,7.2,A,21.4782130684357,92.0947151779329
385,N1,LRP364a,JOARIANALA,367.362,14.0,A,21.4755164496,92.0967866511999
386,N1,LRP364c,JORIANALA,367.6,3.0,A,21.4738446327586,92.0980125862068
387,N1,LRP364d,JOARIANALA BAZAR PC GIDER BRIDGE(L),368.129,57.6,A,21.470055530337,92.1006402232209
388,N1,LRP364d,JOARIANALA BAZAR(R),368.129,57.6,A,21.470055530337,92.1006402232209
389,N1,LRP365a,JOARIANALA CULVERT,368.703,14.0,B,21.4655415307901,92.1026566882833
390,N1,LRP367a,MITA CHARI BOX CULVERT,370.799,9.2,A,21.4505569351351,92.0994681432432
391,N1,LRP368a,RAMU HOSPITAL GATE,371.64,1.5,A,21.4433865625,92.1012678785714
392,N1,LRP368c,MITACMARI RAMU BRIDGE,371.848,58.6,B,21.4418389714285,92.1007083571428
393,N1,LRP369a,MARULA (WEST),372.43,3.0,A,21.4372009552325,92.0983672723837
394,N1,LRP369b,MARULA BOX CULVERT,372.782,2.5,A,21.4342084624161,92.0972607067114
395,N1,LRP369c,RAMU BRAC OFFICE,373.192,7.2,A,21.4308087593886,92.0961182921397
396,N1,LRP370a,RAMU BY PASS MORE,373.424,3.5,A,21.4288400316455,92.0953913860759
397,N1,LRP370c,RAMU MOUR BOX CULVDERT,373.598,12.8,A,21.4283515971831,92.0940714267605
398,N1,LRP370e,ROMA CALLAGE BOX CULVERT,374.081,18.8,A,21.427895984,92.089450816
399,N1,LRP371a,ROMA TECHIPUL,374.655,8.2,A,21.4271063768115,92.0840258231884
400,N1,LRP371c,SAMBAR PUL CULVERT,375.035,7.4,A,21.4267747132812,92.0804427367187
401,N1,LRP372a,CHAKMARKOOL,375.416,12.4,A,21.4264716,92.0767771
402,N1,LRP372c,CHAKMAR KOOL BOX CULVERT,376.062,9.4,A,21.4273654498084,92.0708934808429
403,N1,LRP373a,KHURUTIA BOX CULVERT,376.931,2.0,A,21.4271759977099,92.0634431893129
404,N1,LRP373b,KHURULIA CULVERT,377.189,6.8,A,21.4273089357414,92.0610656669201
405,N1,LRP374a,KHURULIA SCHOOL BOX CULVERT,377.519,16.6,A,21.4278354522255,92.0579673860534
406,N1,LRP374c,KHURULIA SCHOOL BOX CULVERT,377.753,18.6,A,21.4280296848739,92.0557570361344
407,N1,LRP374e,KHURULIA CHAIRMAN PARA BOX CULVERT,378.02,7.2,A,21.4280584948275,92.0532281715517
408,N1,LRP375a,SARKAR PARA BRIDGE,378.492,13.0,A,21.4275245,92.0486482172786
409,N1,LRP375c,WEST DOVGE BOX CULVERT,379.004,10.9,A,21.4294452102564,92.0443807192307
410,N1,LRP376a,MUKTAR KUL,379.504,9.2,A,21.4297884,92.0395945696
411,N1,LRP377a,BAKKHALI BRIDGE,380.346,148.5,A,21.4294033629834,92.0318887491712
412,N1,LRP377c,MOHURI RARA BOX,380.615,3.5,A,21.4303257834586,92.0296206984962
413,N1,LRP377d,RABAR DAM BOX,380.759,10.3,A,21.4301539217391,92.0283434956521
414,N1,LRP377f,LINK ROAD CULVERT,381.374,9.0,A,21.426498621044,92.0238834076672
415,N1,LRP378a,BESIC AREA,381.985,4.5,C,21.423063061512,92.0267879589347
416,N1,LRP378b,BASIC ARIA (1),382.055,11.3,C,21.4226721680412,92.0272924520618
417,N1,LRP379a,KAMBIR GONA,382.649,2.4,C,21.4194017834586,92.031682906015
418,N1,LRP379b,HAMBIR GONA (1),383.098,7.2,B,21.4170232427616,92.0347260730512
419,N1,LRP379c,HAMBIR GONA-(2),383.269,8.1,C,21.4161167631868,92.0359357093406
420,N1,LRP380a,KANAR PARA,383.632,10.9,A,21.4142599314893,92.0386736859574
421,N1,LRP380c,SHORAR COOL,384.001,8.3,A,21.4124968430517,92.0395268517711
422,N1,LRP380e,SOUTH MITTA CHORI,384.358,8.3,B,21.4110029325153,92.0443379558282
423,N1,LRP381a,SOUTH MITHACHARI,384.788,2.2,B,21.4102488567901,92.0480366814814
424,N1,LRP381b,SOUTH MITHACHARI,384.978,8.2,A,21.4102981858461,92.0496622239999
425,N1,LRP381c,SOUTH MITTA CULVERT,385.237,1.9,A,21.4099236838827,92.0518884435897
426,N1,LRP382a,SOUTH MITHACHARI,385.614,3.0,A,21.4088399161904,92.0550238095238
427,N1,LRP382b,SOUTH MITHACHARI,385.78,2.8,A,21.4079574071005,92.0560124923076
428,N1,LRP382c,SHAMMOTI PARA,386.07,10.0,D,21.4063607143344,92.0580467784983
429,N1,LRP383a,CHALATOLI,386.494,1.6,A,21.4041499171641,92.0618387037313
430,N1,LRP383b,CHALIYATOLI,386.968,3.6,A,21.402009374844,92.0647406251559
431,N1,LRP383c,RAKALAN PARA STEEL BEAM AND RCC SLAB,387.23,8.0,C,21.4001878992395,92.0660829174905
432,N1,LRP383d,CHALIYA TOLI -2 ARCH MASONRY,387.398,1.3,C,21.3987858977186,92.0665265524714
433,N1,LRP384a,PANCHORI,387.843,8.3,A,21.3950144227586,92.0675884137931
434,N1,LRP384b,PANCHORA STEEL BEAM AND RCC SLAB,388.328,22.0,C,21.3908555107438,92.0684757008264
435,N1,LRP385a,PANAR CHORH -3 SLAB CULVERT,388.565,2.7,C,21.3888052,92.0689623
436,N1,LRP385b,PANCHARA SLAB CULVERT,388.733,2.7,B,21.3874538459459,92.0697162891891
437,N1,LRP385c,PANCHARA SLAB CULVERT,388.886,2.9,C,21.386218603409,92.0702884892045
438,N1,LRP385d,PANCHARA SLAB CULVERT,388.956,1.8,C,21.3856411333333,92.0704543196078
439,N1,LRP385e,PANAR CHORA SLAB CULVERT,389.101,2.8,B,21.3844064618421,92.0705223447368
440,N1,LRP385f,PANCHORI SLAB CULVERT,389.258,1.8,B,21.3831050828947,92.0708809157894
441,N1,LRP385g,PANCHARA SLAB CULVERT,389.282,1.7,A,21.3829076671052,92.0709510842105
442,N1,LRP386a,PANCHORI,389.538,0.8,A,21.3808422435754,92.0709982664804
443,N1,LRP386b,DALA -2 SLAB CULVERT,389.684,1.5,B,21.3796187798882,92.0706130385474
444,N1,LRP386c,DALA-2 SLAB CULVERT,389.724,1.5,A,21.3793128,92.0704913857142
445,N1,LRP386d,DALA-3 SLAB CULVERT,389.899,2.2,C,21.3778510915584,92.0703548240259
446,N1,LRP386e,DALA SLAB CULVERT,390.047,1.5,A,21.3768882285714,92.0711223285714
447,N1,LRP386f,DALA SLAB CULVERT,390.142,3.0,A,21.3762792890109,92.0717458313186
448,N1,LRP386g,DHALLA SLAB CULVERT,390.356,2.4,C,21.3750850565217,92.0730282999999
449,N1,LRP387a,PANAR CHORI SLAB CULVERT,390.506,1.3,A,21.3745372352601,92.0740615132948
450,N1,LRP387b,PANAR HORA SLAB CULVERT,390.595,1.3,A,21.3743800190751,92.0748617416184
451,N1,LRP387c,PANCR CHAR SLAB CULVERT,390.814,1.3,C,21.3737957588607,92.0766236613924
452,N1,LRP387d,TULA BAGAN SLAB CULVERT,391.031,1.3,C,21.3724168458515,92.0778930973799
453,N1,LRP387e,TULA BAGAN BOX CULVERT,391.255,1.3,A,21.3706902708737,92.0790672786407
454,N1,LRP387f,TELA BAGAN SLAB CULVERT,391.373,1.3,A,21.3697436389312,92.0796434824427
455,N1,LRP388a,TULA BAGAN.,391.521,1.3,A,21.3686452190839,92.0800514992366
456,N1,LRP388b,PARARHORA CULVERT,391.664,1.3,B,21.367599241791,92.0804686731343
457,N1,LRP388c,TULA BAGUN,391.997,7.1,C,21.3649267960264,92.0813617278145
458,N1,LRP388d,TULA BAGAN,392.093,1.3,B,21.3641002252199,92.0813316052785
459,N1,LRP388e,TOLA BAGAN,392.422,1.6,B,21.3613004264018,92.0805440936915
460,N1,LRP389a,TULA BAGAN,392.526,2.5,A,21.3604702002336,92.0801526114486
461,N1,LRP389b,NORTH-CONIAPARA,392.619,1.3,A,21.3597277864485,92.0798025359813
462,N1,LRP389c,NORTH CONIAPARA,392.742,2.2,C,21.3587458843457,92.0793395329439
463,N1,LRP389d,NORTH CONIA PARA BOX CULVERT,393.038,4.0,A,21.3562553024,92.0790827
464,N1,LRP390a,WEST CONIARA,393.764,21.5,A,21.3500251952038,92.0784342935251
465,N1,LRP390c,CONIA PARA,394.307,11.3,C,21.3453322117757,92.0789703396261
466,N1,LRP391a,KHONIA POLONG,394.681,14.1,A,21.3420893171962,92.0788538753271
467,N1,LRP391c,KHONIA POLONG.,395.328,2.3,B,21.3365566114155,92.0789637010654
468,N1,LRP392a,DOA PATONG,395.64,24.1,C,21.3338390771689,92.0790428645357
469,N1,LRP393a,JASOYA PALONG,396.596,45.6,C,21.3269177037394,92.0819708735826
470,N1,LRP393c,JASOYA PALONG RCC GIDER BRIDGE,397.144,5.0,C,21.3237869258823,92.0857429782352
471,N1,LRP394a,MORICHIA,397.591,11.2,D,21.3211087823529,92.0888836352941
472,N1,LRP394c,Jasoya check post.,397.679,1.3,B,21.3205831278931,92.0894967632047
473,N1,LRP394e,MARIECHA BAZAR,398.406,49.3,C,21.3162096661991,92.0939592732117
474,N1,LRP395a,MORICHIA PALONG,399.452,2.4,B,21.308226843421,92.0972648315789
475,N1,LRP396a,MORICHIA PALONG,400.027,2.3,C,21.3035165189189,92.0968487459459
476,N1,LRP396b,SHAPUR STEEL BEAM AND RCC SLAB,400.46,61.3,D,21.2997453619819,92.0974772590991
477,N1,LRP398a,SHAPUR,401.752,14.1,A,21.2887748,92.0999549688796
478,N1,LRP398b,COTBAZR MUSLIM HOS,401.89,11.0,B,21.28755005,92.1000623912863
479,N1,LRP398d,COURT BAZAR,402.323,10.3,A,21.2837382315436,92.1005546348993
480,N1,LRP400a,RATNAPALANG,403.495,14.0,A,21.2740057908634,92.1044223449799
481,N1,LRP400b,CHADIRIKHANA,403.509,23.5,A,21.2738921701807,92.1044785698795
482,N1,LRP400c,CHADIRIKHANA,403.79,23.5,A,21.271611640763,92.1056070839357
483,N1,LRP400e,EJILA,404.393,11.1,C,21.2676412724612,92.1091529913941
484,N1,LRP401a,HIZOLIA BRIDGE,404.487,50.6,C,21.2671335430292,92.1098720509466
485,N1,LRP401c,MODDO RAJAPALONG,404.774,11.5,C,21.2655833478485,92.1120674774526
486,N1,LRP402a,JADIMURA BRIDGE,405.728,6.6,C,21.2600473697902,92.1189860875524
487,N1,LRP402b,JADI MORA (2) CULVERT,405.969,2.4,A,21.2586242226573,92.1207179843356
488,N1,LRP402c,JADIMORA (3),406.218,17.0,A,21.2570550964285,92.1224165035714
489,N1,LRP403a,JADIMORA (1),406.517,2.4,A,21.2552064351464,92.1243872108786
490,N1,LRP403b,WEST OGALA,406.791,11.1,C,21.2538028,92.12659709
491,N1,LRP403d,OKYIA STATION,407.239,8.5,C,21.2504537,92.1307493
492,N1,LRP404a,UKLIA-SHAHABMARKAT,407.785,2.4,C,21.2489644871959,92.1328410912932
493,N1,LRP404b,UKHIYA BAZAR,408.235,20.7,B,21.2457262593333,92.1373042073333
494,N1,LRP408a,P. F PARA SLAB,411.81,2.0,A,21.2308784786138,92.1607571460396
495,N1,LRP408b,KUTUB PALONG,412.008,11.3,C,21.2293155332673,92.1613561450495
496,N1,LRP409a,KUTU - PALONG MOSZID SLAB,412.931,2.2,B,21.2215199757575,92.1617032590909
497,N1,LRP409b,KOSHO - BINNA - BRIDGE,413.235,10.9,C,21.218960082,92.162077758
498,N1,LRP409d,KASHO - BINNAI SLAB,413.43,2.1,C,21.21737604825,92.16248399175
499,N1,LRP410a,KATU PALLANG SLAB,413.66,2.0,A,21.2160115861386,92.1636641564356
500,N1,LRP410b,KUTUNG PALANG SLAB,413.901,1.8,A,21.2149359632653,92.1655512030612
501,N1,LRP410c,KOSUKONA,414.0,2.2,A,21.2144308612244,92.1664067448979
502,N1,LRP411a,BALAKHALI TV CENTER,415.056,6.4,A,21.2063047283582,92.1700180179104
503,N1,LRP411b,BALUKHALI-2 SLAB,415.296,2.2,A,21.2043409872865,92.1703567258064
504,N1,LRP412a,BALUKHALI KASTOM,415.574,3.1,A,21.2019671732447,92.1704006677419
505,N1,LRP412b,BALUKHALI OLD BUS STAND,416.057,39.3,A,21.197632418584,92.1705772646017
506,N1,LRP412d,BAKUHHALI KASHAMIA,416.354,3.0,A,21.1953155305785,92.1705074661157
507,N1,LRP413a,BALUKHALI,416.966,9.4,B,21.1907730988505,92.1680703199233
508,N1,LRP413b,BALUKHAKI,417.29,15.4,D,21.1888919350109,92.1658773557987
509,N1,LRP414a,GOGU GONA,418.231,1.2,A,21.1839744314735,92.1593026449213
510,N1,LRP415a,THANGKHALI BOX CULVERT,418.76,3.1,C,21.1797067107296,92.1578310562231
511,N1,LRP415b,THANG KHALI BOX CULVERT,419.036,3.1,B,21.177417156701,92.1570372113402
512,N1,LRP415c,THANG KHALI BRIDGE,419.278,48.8,C,21.1754208098765,92.1562526135802
513,N1,LRP416a,CHANG KHALI BRIDGE,419.63,9.4,C,21.1724828063829,92.1552940329787
514,N1,LRP416b,CHANG KHALI BRIDGE,419.88,31.1,B,21.1703723502057,92.1547387765432
515,N1,LRP416d,JAM TOLI BRIDGE,420.093,9.4,B,21.1688213638709,92.153662396129
516,N1,LRP416e,JAM TOLI BOX CULVERT,420.18,3.0,A,21.168232930909,92.1531459818181
517,N1,LRP416f,DAIM PARA BRIDGE,420.406,9.3,B,21.1666653482213,92.1523376486166
518,N1,LRP417a,DAIM PARA CULVERT,420.537,3.0,C,21.1655725596837,92.1522082019762
519,N1,LRP417b,DAIM PARA CULVERT,420.606,4.6,A,21.16498780625,92.152190071875
520,N1,LRP417c,DAIM PARA CULVERT,420.952,1.25,C,21.1619757444915,92.1523314669491
521,N1,LRP417d,DAIM PARA CULVERT,421.156,3.0,A,21.1602045009259,92.1525257175926
522,N1,LRP417e,PALONG KHALI CULVERT,421.358,3.0,C,21.1584534746478,92.1525195633802
523,N1,LRP418a,PALONG KHALI BAZAR (1),422.081,9.4,C,21.1524632792452,92.1534145867924
524,N1,LRP418b,PALONG KHALI BAZAR BRIDGE,422.447,15.2,C,21.1498906490706,92.1552156215613
525,N1,LRP419a,PALONG KHALI RCC GIDER BRIDGE,422.784,58.0,C,21.1477676743494,92.1570426250929
526,N1,LRP419c,KARUN TOLI RCC GIDER BRIDGE,423.442,3.3,B,21.1425462548387,92.159429216129
527,N1,LRP420a,GIRA TALI RCC GIDER BRIDGE,423.67,15.4,C,21.1408647661691,92.1605222283582
528,N1,LRP420c,GIVATOLI RCC GIDER BRIDGE,423.804,3.3,A,21.140210455058,92.1615530950248
529,N1,LRP420d,GIVA TOLI RCC GIDER BRIDGE,424.075,3.3,A,21.1388871840796,92.1636379074626
530,N1,LRP420e,GIVA TOLI BOX CULVERT,424.271,1.2,A,21.1380664956896,92.1651978
531,N1,LRP420f,GIVATOLI RCC GIDER BRIDGE,424.395,32.0,C,21.1379210829268,92.1663534195121
532,N1,LRP421a,KATA KHALI RCC GIDER BRIDGE,424.577,12.3,D,21.1376124564885,92.1680587053435
533,N1,LRP421c,ULI BANIA BOX CULVERT,424.783,1.2,C,21.1373350498154,92.1700112125461
534,N1,LRP421d,KHARA KANDI RCC GIDER BRIDGE,425.267,15.2,B,21.1366125359375,92.1745027796875
