,Unnamed: 0,Road,LRPName,Lat,Lon,Chainage,Description,Length,Cat,Next Node,Add On Process
59,59,N1,LRP021c,23.6284668507692,90.6023015723077,21.184,MARIKHALL BRIDGE,89.2,A,LRP021a,BridgesDelay
60,60,N1,LRP021a,23.6262771,90.6042222,21.499,0,0.0,0,LRP022,BlankProcess
61,61,N1,LRP022,23.625221600000003,90.6049722,21.629,0,0.0,0,LRP022a,BlankProcess
62,62,N1,LRP022a,23.6242216,90.6055278,21.765,0,0.0,0,LRP022b,BlankProcess
63,63,N1,LRP022b,23.6224993,90.6066944,21.993,0,0.0,0,LRP022c,BlankProcess
64,64,N1,LRP022c,23.6204716,90.6079722,22.252,0,0.0,0,LRP022d,BlankProcess
65,65,N1,LRP022d,23.6195271,90.6085833,22.374,0,0.0,0,LRP023a,BlankProcess
66,66,N1,LRP023a,23.6176407964705,90.6095506105882,22.596,ASHIR CHAR (Right),224.8,A,LRP023,BridgesDelay
67,67,N1,LRP023,23.6173604,90.6096944,22.629,0,0.0,0,LRP023c,BlankProcess
68,68,N1,LRP023c,23.613587384385,90.61090295614972,23.081,ASHARIR CHAR (L),120.1,A,LRP024,BridgesDelay
69,69,N1,LRP024,23.609,90.6124722,23.629,0,0.0,0,LRP024a,BlankProcess
70,70,N1,LRP024a,23.6018611,90.6159722,24.503,0,0.0,0,LRP025,BlankProcess
71,71,N1,LRP025,23.6009444,90.6165556,24.629,0,0.0,0,LRP026,BlankProcess
72,72,N1,LRP026,23.5959997,90.624666,25.629,0,0.0,0,LRP026a,BlankProcess
73,73,N1,LRP026a,23.592981882789303,90.6279699370919,26.115,TATULTALA CULVERT,5.6,A,LRP026b,BridgesDelay
74,74,N1,LRP026b,23.5908088547468,90.63023685981008,26.451999999999998,BAILAKANDI CULVERT,5.5,A,LRP027,BridgesDelay
75,75,N1,LRP027,23.5896108,90.6313882,26.629,0,0.0,0,LRP027a,BlankProcess
