,Road,LRPName,Lat,Lon,Chainage,Description,Length,Cat,Next Node,Add On Process
0,Z7609,LRPS,22.305583300000002,89.1063056,0.0,0,0.0,0,LRPSa,BlankProcess
1,Z7609,LRPSa,22.3051667,89.1069444,0.08,.,3.6,A,LRPSb,BridgesDelay
2,Z7609,LRPSb,22.3036815514851,89.1093646970297,0.38,.,2.4,A,LRPSc,BridgesDelay
3,Z7609,LRPSc,22.3029919021276,89.1105225021276,0.52,.,3.4,A,LRP001,BridgesDelay
4,Z7609,LRP001,22.301888899999998,89.1123056,0.74,0,0.0,0,LRPSd,BlankProcess
5,Z7609,LRPSd,22.3011271508474,89.1135362305084,0.89,.,1.9,A,LRP001a,BridgesDelay
6,Z7609,LRP001a,22.2999899212435,89.1153763497409,1.12,.,5.7,A,LRP001b,BridgesDelay
7,Z7609,LRP001b,22.2990828331606,89.1167488264248,1.3,.,1.9,A,LRP002,BridgesDelay
8,Z7609,LRP002,22.297082999999997,89.1197771,1.68,0,0.0,0,LRP002a,BlankProcess
9,Z7609,LRP002a,22.296027399999996,89.1213882,1.88,0,0.0,0,LRP001c,BlankProcess
10,Z7609,LRP001c,22.2960274,89.1213882,1.88,.,3.6,A,LRP003,BridgesDelay
11,Z7609,LRP003,22.2920552,89.1273604,2.64,0,0.0,0,LRP002b,BlankProcess
12,Z7609,LRP002b,22.2903231796511,89.1299452401162,2.97,.,1.9,A,LRP003a,BridgesDelay
13,Z7609,LRP003a,22.2869397050933,89.1342193723259,3.55,.,1.9,A,LRP003b,BridgesDelay
14,Z7609,LRP003b,22.2868052,89.1343886,3.573,0,0.0,0,LRP004,BlankProcess
15,Z7609,LRP004,22.286277399999996,89.135083,3.665,0,0.0,0,LRP004a,BlankProcess
16,Z7609,LRP004a,22.284527399999998,89.1372219,3.96,0,0.0,0,LRP004b,BlankProcess
17,Z7609,LRP004b,22.282166,89.1401386,4.365,0,0.0,0,LRP004c,BlankProcess
18,Z7609,LRP004c,22.2807493,89.1418608,4.595,0,0.0,0,LRP005,BlankProcess
19,Z7609,LRP005,22.2783049,89.14491629999999,5.019,0,0.0,0,LRP005a,BlankProcess
20,Z7609,LRP005a,22.2783001532861,89.1449244173913,5.02,.,3.3,A,LRP006,BridgesDelay
21,Z7609,LRP006,22.2736104,89.1529444,6.007999999999999,0,0.0,0,LRP006a,BlankProcess
22,Z7609,LRP006a,22.27257463125,89.1549196796875,6.23,.,2.4,A,LRP006b,BridgesDelay
23,Z7609,LRP006b,22.270193799999998,89.15941670000001,6.761,0,0.0,0,LRP007,BlankProcess
24,Z7609,LRP007,22.269138199999997,89.16144440000001,7.007999999999999,0,0.0,0,LRP007a,BlankProcess
25,Z7609,LRP007a,22.268499300000002,89.16261109999999,7.138999999999999,0,0.0,0,LRP007b,BlankProcess
26,Z7609,LRP007b,22.2662778,89.167416,7.687,0,0.0,0,LRP008,BlankProcess
27,Z7609,LRP008,22.266222199999998,89.1704438,8.008,0,0.0,0,LRP008a,BlankProcess
28,Z7609,LRP008a,22.2665804431,89.1749129184,8.469,0,0.0,0,LRP009,BlankProcess
29,Z7609,LRP009,22.266999300000002,89.1801382,9.008,0,0.0,0,LRP010,BlankProcess
30,Z7609,LRP010,22.2677771,89.1898608,10.008,0,0.0,0,LRP010a,BlankProcess
31,Z7609,LRP010a,22.2680180691906,89.1928396396866,10.31,.,3.7,A,LRPE,BridgesDelay
32,Z7609,LRPE,22.2682493,89.195583,10.605,0,0.0,0,PreRome,BlankProcess
