,Road,LRPName,Lat,Lon,Chainage,Description,Length,Cat,Next Node,Add On Process
0,Z5029,LRPS,25.981471600000003,88.2644722,0.0,0,0.0,0,LRP001,BlankProcess
1,Z5029,LRP001,25.9823882,88.2606389,0.4,0,0.0,0,LRP001a,BlankProcess
2,Z5029,LRP001a,25.9851875357723,88.2521364235772,1.2,.,4.0,A,LRP002,BridgesDelay
3,Z5029,LRP002,25.9856663,88.2516667,1.4,0,0.0,0,LRP002a,BlankProcess
4,Z5029,LRP002a,25.9859719,88.2505833,1.5219999999999998,0,0.0,0,LRP003,BlankProcess
5,Z5029,LRP003,25.9868052,88.2418052,2.4,0,0.0,0,LRP003a,BlankProcess
6,Z5029,LRP003a,25.9870552,88.2401941,2.565,0,0.0,0,LRP004,BlankProcess
7,Z5029,LRP004,25.9876663,88.2321382,3.4,0,0.0,0,LRP004a,BlankProcess
8,Z5029,LRP004a,25.989832999999997,88.2253882,4.123,0,0.0,0,LRP004b,BlankProcess
9,Z5029,LRP004b,25.989944100000002,88.2251938,4.143,0,0.0,0,LRP005,BlankProcess
10,Z5029,LRP005,25.9911108,88.2229438,4.4,0,0.0,0,LRP006,BlankProcess
11,Z5029,LRP006,25.9955552,88.21433329999999,5.4,0,0.0,0,LRP006a,BlankProcess
12,Z5029,LRP006a,25.9974553628664,88.2121346029316,5.7,.,14.6,A,LRP006b,BridgesDelay
13,Z5029,LRP006b,25.9975552,88.212,5.722,0,0.0,0,LRP007,BlankProcess
14,Z5029,LRP007,25.9994997,88.20575,6.4,0,0.0,0,LRP007a,BlankProcess
15,Z5029,LRP007a,26.0000278,88.2038333,6.602,0,0.0,0,LRP007b,BlankProcess
16,Z5029,LRP007b,26.0000833,88.2035833,6.626,0,0.0,0,LRP008,BlankProcess
17,Z5029,LRP008,26.0015833,88.1960552,7.4,0,0.0,0,LRP008a,BlankProcess
18,Z5029,LRP008a,26.0025152169329,88.1932597367412,7.7,.,4.6,A,LRP008b,BridgesDelay
19,Z5029,LRP008b,26.0041034794183,88.1890922928411,8.15,.,4.0,A,LRP009,BridgesDelay
20,Z5029,LRP009,26.005055600000002,88.1868608,8.4,0,0.0,0,LRP009a,BlankProcess
21,Z5029,LRP009a,26.0071389,88.181416,9.0,0,0.0,0,LRP010,BlankProcess
22,Z5029,LRP010,26.008194399999997,88.17755490000002,9.4,0,0.0,0,LRP010a,BlankProcess
23,Z5029,LRP010a,26.0090077555555,88.1743280166666,9.74,.,3.6,A,LRP010b,BridgesDelay
24,Z5029,LRP010b,26.0101389,88.1696382,10.195,0,0.0,0,0,BlankProcess
