,Road,LRPName,Lat,Lon,Chainage,Description,Length,Cat,Next Node,Add On Process
0,Z2044,LRPS,24.0427774,90.7384441,0.0,0,0.0,0,LRP001,BlankProcess
1,Z2044,LRP001,24.0431108,90.7381108,0.068,0,0.0,0,LRP001a,BlankProcess
2,Z2044,LRP001a,24.0441492382892,90.7315202684317,0.774,SIBPUR(1),1.3,A,LRP001b,BridgesDelay
3,Z2044,LRP001b,24.0443169181262,90.730456074949,0.888,SIBPUR(2) SLAB,1.3,A,LRP002,BridgesDelay
4,Z2044,LRP002,24.0445552,90.7289438,1.05,0,0.0,0,LRP002a,BlankProcess
5,Z2044,LRP002a,24.0446663,90.72861040000001,1.081,0,0.0,0,LRP003,BlankProcess
6,Z2044,LRP003,24.049499700000002,90.7212493,2.022,0,0.0,0,LRP003a,BlankProcess
7,Z2044,LRP003a,24.0498608,90.7201382,2.145,0,0.0,0,LRP003b,BlankProcess
8,Z2044,LRP003b,24.051027800000004,90.7163333,2.552,0,0.0,0,LRP004,BlankProcess
9,Z2044,LRP004,24.0519167,90.7118333,3.02,0,0.0,0,LRP004c,BlankProcess
10,Z2044,LRP004c,24.052528751595,90.705482690846,3.682,CHOWGHORIA,3.0,A,LRP004a,BridgesDelay
11,Z2044,LRP004a,24.052583300000002,90.7049167,3.741,0,0.0,0,LRP005,BlankProcess
12,Z2044,LRP005,24.0523056,90.7020278,4.034,0,0.0,0,LRP005a,BlankProcess
13,Z2044,LRP005a,24.0518056,90.6956108,4.704,0,0.0,0,LRP006,BlankProcess
14,Z2044,LRP006,24.0515833,90.6923608,5.039,0,0.0,0,LRP006b,BlankProcess
15,Z2044,LRP006b,24.0502229537294,90.6885464122629,5.46,DULALPUR SLABPUR,0.6,A,LRP006d,BridgesDelay
16,Z2044,LRP006d,24.0492665107458,90.6858645624526,5.756,DULALPUR SLAB CULVERT,1.1,A,LRP006a,BridgesDelay
17,Z2044,LRP006a,24.049027399999996,90.6851941,5.83,0,0.0,0,LRP007,BlankProcess
18,Z2044,LRP007,24.048194100000003,90.68330490000001,6.047999999999999,0,0.0,0,LRP007a,BlankProcess
19,Z2044,LRP007a,24.0501070054545,90.6817412854545,6.715,DULALPUR RCC GIDER BRIDGE,7.5,C,LRP007b,BridgesDelay
20,Z2044,LRP007b,24.05075,90.68197159999998,6.791,0,0.0,0,LRP008,BlankProcess
21,Z2044,LRP008,24.0528333,90.68297159999999,7.047000000000001,0,0.0,0,LRP008a,BlankProcess
22,Z2044,LRP008a,24.0528889,90.68302709999999,7.053,0,0.0,0,LRP008b,BlankProcess
23,Z2044,LRP008b,24.0531995173553,90.6832248826446,7.094,DULAIPUR SLAB CULVERT,1.2,A,LRP008c,BridgesDelay
24,Z2044,LRP008c,24.05425,90.6838608,7.23,0,0.0,0,LRP008d,BlankProcess
25,Z2044,LRP008d,24.055916699999997,90.68505520000001,7.468,0,0.0,0,LRP009,BlankProcess
26,Z2044,LRP009,24.0606111,90.68802740000001,8.064,0,0.0,0,LRP009a,BlankProcess
27,Z2044,LRP009a,24.0606667,90.68805520000001,8.07,0,0.0,0,LRP009b,BlankProcess
28,Z2044,LRP009b,24.068388199999998,90.6919997,9.022,0,0.0,0,LRP010,BlankProcess
29,Z2044,LRP010,24.0688049,90.6921108,9.064,0,0.0,0,LRP010a,BlankProcess
30,Z2044,LRP010a,24.0734438,90.6931386,9.594,0,0.0,0,LRP011,BlankProcess
31,Z2044,LRP011,24.0776938,90.6938886,10.077,0,0.0,0,LRP011a,BlankProcess
32,Z2044,LRP011a,24.0828049,90.695083,10.661,0,0.0,0,LRP011b,BlankProcess
33,Z2044,LRP011b,24.0828049,90.6948052,10.8,0,0.0,0,LRP012,BlankProcess
34,Z2044,LRP012,24.080499300000003,90.69288859999999,11.124,0,0.0,0,LRP012a,BlankProcess
35,Z2044,LRP012a,24.079916,90.6923886,11.208,0,0.0,0,LRP012b,BlankProcess
36,Z2044,LRP012b,24.0790549,90.69163859999999,11.322000000000001,0,0.0,0,LRP012c,BlankProcess
37,Z2044,LRP012c,24.078416,90.6911108,11.418,0,0.0,0,LRP012d,BlankProcess
38,Z2044,LRP012d,24.075527100000002,90.685583,12.089,0,0.0,0,LRP013,BlankProcess
39,Z2044,LRP013,24.0753882,90.68513859999999,12.13,0,0.0,0,LRP013d,BlankProcess
40,Z2044,LRP013d,24.0743347513834,90.6816442897233,12.51,MANIKDI SLAB CULVERT,1.0,A,LRP013e,BridgesDelay
41,Z2044,LRP013e,24.074096339328,90.6808534721343,12.596,MANIKDI(2) SLAB,1.3,A,LRP013a,BridgesDelay
42,Z2044,LRP013a,24.07332011403162,90.67827871719368,12.876,0,0.0,0,LRP014,BlankProcess
43,Z2044,LRP014,24.072582699999998,90.6758327,13.142000000000001,0,0.0,0,LRP014a,BlankProcess
44,Z2044,LRP014a,24.0719438,90.6737771,13.365,0,0.0,0,LRP014b,BlankProcess
45,Z2044,LRP014b,24.0719009636904,90.6734222744047,13.402,SIMUHA RCC GIDER BRIDGE,18.3,A,LRP014c,BridgesDelay
46,Z2044,LRP014c,24.0717493,90.6720549,13.540999999999999,0,0.0,0,LRP014d,BlankProcess
47,Z2044,LRP014d,24.0717493,90.669416,13.814,0,0.0,0,LRP014e,BlankProcess
48,Z2044,LRP014e,24.0718049,90.6665556,14.11,0,0.0,0,LRP015,BlankProcess
49,Z2044,LRP015,24.0718049,90.6660833,14.157,0,0.0,0,LRP015a,BlankProcess
50,Z2044,LRP015a,24.071832699999998,90.6653611,14.228,0,0.0,0,LRP015b,BlankProcess
51,Z2044,LRP015b,24.0719438,90.66113890000001,14.665,0,0.0,0,LRP016,BlankProcess
52,Z2044,LRP016,24.072416,90.65638890000001,15.152000000000001,0,0.0,0,LRP016b,BlankProcess
53,Z2044,LRP016b,24.0717989487,90.6527076955,15.535,SIMULIA-5,1.0,A,LRP017,BridgesDelay
54,Z2044,LRP017,24.0708049,90.6467774,16.152,0,0.0,0,LRP017a,BlankProcess
55,Z2044,LRP017a,24.0723604,90.639083,17.022000000000002,0,0.0,0,LRP018,BlankProcess
56,Z2044,LRP018,24.0723882,90.639083,17.028,0,0.0,0,LRP018a,BlankProcess
57,Z2044,LRP018a,24.0753714445328,90.6405132743538,17.398,HORINARAINPUR BOX CUL,1.6,A,LRP018b,BridgesDelay
58,Z2044,LRP018b,24.0758229626242,90.6407297483101,17.454,HORINARAINPUR BRDGE,6.4,C,LRP018c,BridgesDelay
59,Z2044,LRP018c,24.0789462806378,90.6417143343963,17.826,HORINARAYONPUR,0.9,A,LRP019,BridgesDelay
60,Z2044,LRP019,24.0807493,90.6419997,18.031,0,0.0,0,LRP019a,BlankProcess
61,Z2044,LRP019a,24.0841941,90.6449997,18.543,0,0.0,0,LRP019f,BlankProcess
62,Z2044,LRP019f,24.0850397261363,90.6460233386363,18.684,HORINARAINPUR BOX CUL,3.0,A,LRP019b,BridgesDelay
63,Z2044,LRP019b,24.085777399999998,90.6469163,18.807000000000002,0,0.0,0,LRP020,BlankProcess
64,Z2044,LRP020,24.087138600000003,90.6484441,19.022000000000002,0,0.0,0,LRP020a,BlankProcess
65,Z2044,LRP020a,24.0899719,90.6514444,19.48,0,0.0,0,LRP020d,BlankProcess
66,Z2044,LRP020d,24.0903366550505,90.6519550767676,19.545,ESTIBADI SLAB CUL,3.8,B,LRP020b,BridgesDelay
67,Z2044,LRP020b,24.091082999999998,90.65299999999999,19.678,0,0.0,0,LRP020c,BlankProcess
68,Z2044,LRP020c,24.091333,90.6540278,19.783,0,0.0,0,LRP021,BlankProcess
69,Z2044,LRP021,24.0914441,90.65638890000001,20.044,0,0.0,0,LRP021a,BlankProcess
70,Z2044,LRP021a,24.091686849157306,90.65750266404493,20.166,0,0.0,0,LRP021b,BlankProcess
71,Z2044,LRP021b,24.0928608,90.66288890000001,20.756,0,0.0,0,LRP022,BlankProcess
72,Z2044,LRP022,24.093138600000003,90.6655833,21.037,0,0.0,0,LRP022c,BlankProcess
73,Z2044,LRP022c,24.093344250641,90.6666407807692,21.147,DOWLOTPUR-2,0.9,C,LRP022a,BridgesDelay
74,Z2044,LRP022a,24.0937219,90.6685827,21.349,0,0.0,0,LRP022b,BlankProcess
75,Z2044,LRP022b,24.094194100000003,90.6701382,21.521,0,0.0,0,LRP023,BlankProcess
76,Z2044,LRP023,24.0951108,90.6752493,22.053,0,0.0,0,LRP023a,BlankProcess
77,Z2044,LRP023a,24.0951797559917,90.6755011168388,22.08,COCHARCHAR,1.0,C,LRP023b,BridgesDelay
78,Z2044,LRP023b,24.0972075729338,90.6829063972107,22.874,ROCHER CHOR BOX CUL,1.0,A,LRP024,BridgesDelay
79,Z2044,LRP024,24.0976108,90.6844997,23.051,0,0.0,0,LRP024a,BlankProcess
80,Z2044,LRP024a,24.0977219,90.68641629999999,23.243000000000002,0,0.0,0,LRP024b,BlankProcess
81,Z2044,LRP024b,24.097832999999998,90.6889997,23.511,0,0.0,0,LRP024c,BlankProcess
82,Z2044,LRP024c,24.097944100000003,90.6918886,23.809,0,0.0,0,LRP025a,BlankProcess
83,Z2044,LRP025a,24.0980233893162,90.6936529478632,23.976,CHORDARGHAT,1.5,A,LRP025,BridgesDelay
84,Z2044,LRP025,24.0980552,90.6943608,24.043000000000003,0,0.0,0,LRP025c,BlankProcess
85,Z2044,LRP025c,24.0983374648,90.6983627,24.46,HATIRDIA SLAB,1.4,A,LRP025b,BridgesDelay
86,Z2044,LRP025b,24.0984997,90.6997497,24.605999999999998,0,0.0,0,LRPE,BlankProcess
87,Z2044,LRPE,24.0981941,90.7040833,25.066999999999997,0,0.0,0,PreRome,BlankProcess
