,Road,LRPName,Lat,Lon,Chainage,Description,Length,Cat,Next Node,Add On Process
0,Z1510,LRPS,22.942527399999996,90.8373608,0.0,0,0.0,0,LRPSa,BlankProcess
1,Z1510,LRPSa,22.9426413361194,90.8374528895522,0.016,MADAM BOX CULVERT,6.0,B,LRPSb,BridgesDelay
2,Z1510,LRPSb,22.9435552,90.8403886,0.35,0,0.0,0,LRPSd,BlankProcess
3,Z1510,LRPSd,22.9453756896875,90.8433247509375,0.801,MAJUPUR CULVERT,1.0,A,LRP001,BridgesDelay
4,Z1510,LRP001,22.9461386,90.8445552,0.99,0,0.0,0,LRP001a,BlankProcess
5,Z1510,LRP001a,22.9463616655999,90.8447761008,1.024,MAJUPUR CULVERT,1.2,A,LRP001b,BridgesDelay
6,Z1510,LRP001b,22.9475274,90.8481108,1.39,0,0.0,0,LRP001d,BlankProcess
7,Z1510,LRP001d,22.9504239245901,90.8519088983606,1.99,RJIDPUR CULVERT,1.2,A,LRP001c,BridgesDelay
8,Z1510,LRP001c,22.950472199999997,90.8519722,2.0,0,0.0,0,LRP002,BlankProcess
9,Z1510,LRP002,22.9504444,90.8522778,2.005,0,0.0,0,LRP002c,BlankProcess
10,Z1510,LRP002c,22.9538743968421,90.8541863301052,2.478,RAJIBPUR SUBMARGE,1.2,A,LRP002a,BridgesDelay
11,Z1510,LRP002a,22.9538889,90.8541944,2.48,0,0.0,0,LRP003,BlankProcess
12,Z1510,LRP003,22.9584722,90.85502779999999,3.01,0,0.0,0,LRP003a,BlankProcess
13,Z1510,LRP003a,22.9590278,90.8555,3.13,KAYAJALIPUR BOX CULVERT,6.0,A,LRP003b,BridgesDelay
14,Z1510,LRP003b,22.9635,90.85675,3.74,0,0.0,0,LRP004,BlankProcess
15,Z1510,LRP004,22.96575,90.8568056,4.01,0,0.0,0,LRP004a,BlankProcess
16,Z1510,LRP004a,22.9661940070422,90.856801684507,4.06,KACHARIBARI,1.0,A,LRP004b,BridgesDelay
17,Z1510,LRP004b,22.9690356521126,90.8567766253521,4.38,KACHADRIBARI,1.0,A,LRP004c,BridgesDelay
18,Z1510,LRP004c,22.9720725585714,90.8567529764285,4.722,ALADINAGOR CULVERT,3.0,C,LRP005,BridgesDelay
19,Z1510,LRP005,22.9745271,90.85716670000001,5.0,0,0.0,0,LRP005b,BlankProcess
20,Z1510,LRP005b,22.9775036781428,90.8588381041428,5.577,AOLADINAYAR BRIDGE,9.7,D,LRP005a,BridgesDelay
21,Z1510,LRP005a,22.9781382,90.8591944,5.7,0,0.0,0,LRP005d,BlankProcess
22,Z1510,LRP005d,22.9788416106451,90.8594898638709,5.857,BISSONAGAR SLAB CULVERT,0.6,A,LRP006,BridgesDelay
23,Z1510,LRP006,22.979527100000002,90.85977779999999,6.01,0,0.0,0,LRP006a,BlankProcess
24,Z1510,LRP006a,22.9815271,90.86736040000001,6.68,0,0.0,0,LRP006b,BlankProcess
25,Z1510,LRP006b,22.9815748603225,90.8674477683871,6.693,NISHATPUR BRIDGE,4.4,A,LRP007,BridgesDelay
26,Z1510,LRP007,22.982666000000002,90.8694438,6.99,0,0.0,0,LRP007a,BlankProcess
27,Z1510,LRP007a,22.9828327,90.8762493,7.79,0,0.0,0,LRP007b,BlankProcess
28,Z1510,LRP007b,22.9828225954545,90.8763023318181,7.8,dilsadpur bridge,3.0,A,LRP008a,BridgesDelay
29,Z1510,LRP008a,22.98276601,90.87751323,8.024,DILSHAPUR BRIDGE,3.0,A,LRP008,BridgesDelay
30,Z1510,LRP008,22.9828327,90.8775549,8.03,0,0.0,0,LRP008c,BlankProcess
31,Z1510,LRP008c,22.9826382,90.8810160266666,8.398,BOKSHALIMIYA RCC GIDER BRIDGE,12.1,B,LRP008b,BridgesDelay
32,Z1510,LRP008b,22.982638199999997,90.88105490000001,8.405,0,0.0,0,LRP009,BlankProcess
33,Z1510,LRP009,22.9825827,90.88408299999999,8.72,0,0.0,0,LRP009a,BlankProcess
34,Z1510,LRP009a,22.9828327,90.8866941,8.99,0,0.0,0,LRP008e,BlankProcess
35,Z1510,LRP008e,22.98284956,90.8867299241379,8.995,RADHAPUR SLAB CULVERT,1.0,C,LRP010,BridgesDelay
36,Z1510,LRP010,22.985277399999998,90.89188859999999,9.715,0,0.0,0,LRP010a,BlankProcess
37,Z1510,LRP010a,22.985499700000002,90.89363859999999,9.905,0,0.0,0,LRP009c,BlankProcess
38,Z1510,LRP009c,22.9854976016783,90.8937211205594,9.914,RAJA PUR BRIDGE,3.3,A,LRP010b,BridgesDelay
39,Z1510,LRP010b,22.985332999999997,90.9001944,10.62,0,0.0,0,LRP011,BlankProcess
40,Z1510,LRP011,22.9857497,90.90061109999999,10.69,0,0.0,0,LRP011a,BlankProcess
41,Z1510,LRP011a,22.9856386,90.90100000000001,10.75,0,0.0,0,LRP011b,BlankProcess
42,Z1510,LRP011b,22.9849163,90.9037778,11.12,0,0.0,0,LRP011c,BlankProcess
43,Z1510,LRP011c,22.9837219,90.90763890000001,11.684000000000001,0,0.0,0,LRP012,BlankProcess
44,Z1510,LRP012,22.9837497,90.9076944,11.69,0,0.0,0,LRP012a,BlankProcess
45,Z1510,LRP012a,22.9857497,90.9086944,11.97,0,0.0,0,LRP012b,BlankProcess
46,Z1510,LRP012b,22.984944100000003,90.91188890000001,12.39,0,0.0,0,LRP012c,BlankProcess
47,Z1510,LRP012c,22.984638600000004,90.91338890000002,12.55,0,0.0,0,LRP013,BlankProcess
48,Z1510,LRP013,22.984388600000003,90.91444440000001,12.69,0,0.0,0,LRP013a,BlankProcess
49,Z1510,LRP013a,22.9844163,90.9155556,12.79,0,0.0,0,LRP013c,BlankProcess
50,Z1510,LRP013c,22.983832999999997,90.9197493,13.32,0,0.0,0,LRP013b,BlankProcess
51,Z1510,LRP013b,22.98386425,90.9198326375,13.33,DATTAPARA SLAB CULVERT,0.83,A,LRP014,BridgesDelay
52,Z1510,LRP014,22.9848608,90.92322159999999,13.72,0,0.0,0,LRP013d,BlankProcess
53,Z1510,LRP013d,22.9851382958333,90.9242812616666,13.829,DATTOPARA BOX CUVERT,1.0,A,LRP014b,BridgesDelay
54,Z1510,LRP014b,22.9849997,90.9271104,14.22,0,0.0,0,LRP014a,BlankProcess
55,Z1510,LRP014a,22.9851897339215,90.929486542549,14.569,DOTTOPARA SLAB CULVERT,1.2,A,LRP015,BridgesDelay
56,Z1510,LRP015,22.985277399999998,90.9305827,14.73,0,0.0,0,LRP015a,BlankProcess
57,Z1510,LRP015a,22.985332999999997,90.9307771,14.74,0,0.0,0,LRP015b,BlankProcess
58,Z1510,LRP015b,22.988027399999996,90.93072159999998,15.05,0,0.0,0,LRP016,BlankProcess
59,Z1510,LRP016,22.988055199999998,90.9334997,15.25,0,0.0,0,LRP017,BlankProcess
60,Z1510,LRP017,22.9934719,90.9374997,16.27,0,0.0,0,LRP018,BlankProcess
61,Z1510,LRP018,22.9997774,90.94233299999999,17.28,0,0.0,0,LRP018a,BlankProcess
62,Z1510,LRP018a,23.0004167,90.9423886,17.38,0,0.0,0,LRP017a,BlankProcess
63,Z1510,LRP017a,23.0019179069473,90.9433768214736,17.638,RAMNARAYON BRIDGE,5.5,A,LRP019,BridgesDelay
64,Z1510,LRP019,23.0059444,90.9460274,18.33,0,0.0,0,LRP020,BlankProcess
65,Z1510,LRP020,23.0089167,90.9531944,19.22,0,0.0,0,LRP020a,BlankProcess
66,Z1510,LRP020a,23.0105911114545,90.9604990483636,20.181,MALLIKA SLAB CULVERT,0.6,A,LRP021,BridgesDelay
67,Z1510,LRP021,23.0108333,90.9615556,20.32,0,0.0,0,LRP021a,BlankProcess
68,Z1510,LRP021a,23.0111389,90.9632778,20.5,0,0.0,0,LRP020b,BlankProcess
