,Road,LRPName,Lat,Lon,Chainage,Description,Length,Cat,Next Node,Add On Process
0,Z3711,LRPS,24.9528056,90.3589444,0.0,0,0.0,0,LRP001,BlankProcess
1,Z3711,LRP001,24.962194399999998,90.3593056,1.12,0,0.0,0,LRP002a,BlankProcess
2,Z3711,LRP002a,24.9693215438763,90.3615809448276,1.95,KURIAR PARA BRIDGE,61.5,A,LRP001a,BridgesDelay
3,Z3711,LRP001a,24.969416,90.36161109999999,1.9609999999999999,0,0.0,0,LRP001b,BlankProcess
4,Z3711,LRP001b,24.9699438,90.3618056,2.026,0,0.0,0,LRP002,BlankProcess
5,Z3711,LRP002,24.970888199999997,90.36202779999999,2.12,0,0.0,0,LRP003a,BlankProcess
6,Z3711,LRP003a,24.9737802979057,90.362573039267,2.446,KAZIAKANDA BOX CULVERT,103.4,A,LRP002b,BridgesDelay
7,Z3711,LRP002b,24.976999300000003,90.3630556,2.822,0,0.0,0,LRP003,BlankProcess
8,Z3711,LRP003,24.979999300000003,90.36361109999999,3.15,0,0.0,0,LRP004a,BlankProcess
9,Z3711,LRP004a,24.9861815549019,90.364237472549,3.85,KHAJOR TALA BRIDGE,38.4,B,LRP003b,BridgesDelay
10,Z3711,LRP003b,24.9866663,90.3641944,3.903,0,0.0,0,LRP004c,BlankProcess
11,Z3711,LRP004c,24.9871340371727,90.3639410628272,4.037,CHARCA PUR BOX CULVERT,71.0,A,LRP003c,BridgesDelay
12,Z3711,LRP003c,24.987333,90.3638333,4.093999999999999,0,0.0,0,LRP004,BlankProcess
13,Z3711,LRP004,24.9889441,90.36375,4.16,0,0.0,0,LRP005,BlankProcess
14,Z3711,LRP005,24.997083,90.3606667,5.127999999999999,0,0.0,0,LRP005a,BlankProcess
15,Z3711,LRP005a,24.997833,90.3591944,5.307,0,0.0,0,LRP005b,BlankProcess
16,Z3711,LRP005b,24.9981663,90.35802779999999,5.432,0,0.0,0,LRP006,BlankProcess
17,Z3711,LRP006,25.0021944,90.3528333,6.138,0,0.0,0,LRP006a,BlankProcess
18,Z3711,LRP006a,25.0074167,90.34849969999999,6.877999999999999,0,0.0,0,LRP006b,BlankProcess
19,Z3711,LRP006b,25.0076944,90.34838859999999,6.915,0,0.0,0,LRP007,BlankProcess
20,Z3711,LRP007,25.0066111,90.34816629999999,7.098,0,0.0,0,LRP007a,BlankProcess
21,Z3711,LRP007a,25.016333300000003,90.34827740000001,7.874,0,0.0,0,LRP008,BlankProcess
22,Z3711,LRP008,25.018832699999997,90.3483608,8.148,0,0.0,0,LRP009a,BlankProcess
23,Z3711,LRP009a,25.0205788937033,90.348162223159,8.345,NAGLA BOX CULVERT,3.4,A,LRP009b,BridgesDelay
24,Z3711,LRP009b,25.0268013707577,90.3474546041622,9.047,NAGLABAZAR BRIDGE,40.4,A,LRP008a,BridgesDelay
25,Z3711,LRP008a,25.0271382,90.34741629999999,9.085,0,0.0,0,LRP008b,BlankProcess
26,Z3711,LRP008b,25.027499300000002,90.34730520000001,9.129,0,0.0,0,LRP009,BlankProcess
27,Z3711,LRP009,25.0277493,90.34722190000001,9.148,0,0.0,0,LRP010a,BlankProcess
28,Z3711,LRP010a,25.0297623976,90.3462594419999,9.392,NAGLA BOX CULVERT,3.4,A,LRP010,BridgesDelay
29,Z3711,LRP010,25.0359997,90.3432774,10.148,0,0.0,0,LRP011,BlankProcess
30,Z3711,LRP011,25.0448052,90.3418608,11.148,0,0.0,0,LRP012b,BlankProcess
31,Z3711,LRP012b,25.0517707510638,90.3401951365957,12.002,DHARA BOX CULVERT,18.8,A,LRP011a,BridgesDelay
32,Z3711,LRP011a,25.052472199999997,90.34002740000001,12.088,0,0.0,0,LRP012,BlankProcess
33,Z3711,LRP012,25.053333300000002,90.3396108,12.148,0,0.0,0,LRP013,BlankProcess
34,Z3711,LRP013,25.061944399999998,90.3368886,13.158,0,0.0,0,LRP014,BlankProcess
35,Z3711,LRP014,25.0705549,90.3342219,14.158,0,0.0,0,LRP014a,BlankProcess
36,Z3711,LRP014a,25.0719438,90.3338052,14.352,0,0.0,0,LRP015b,BlankProcess
37,Z3711,LRP015b,25.0776767172106,90.3330371501483,14.973,DORINAGOYA BOX CULVERT,6.2,A,LRP014b,BridgesDelay
38,Z3711,LRP014b,25.078166,90.3329716,15.026,0,0.0,0,LRP015,BlankProcess
39,Z3711,LRP015,25.079388199999997,90.3328882,15.158,0,0.0,0,LRP016a,BlankProcess
40,Z3711,LRP016a,25.0840172697754,90.3344659153713,15.697,JANGNHIR PARA BRIDGE,76.3,A,LRP015a,BridgesDelay
41,Z3711,LRP015a,25.084360800000002,90.334583,15.737,0,0.0,0,LRP016c,BlankProcess
42,Z3711,LRP016c,25.0867422114285,90.3354248228571,16.016,GANGINA PAR BOX CULVERT,6.0,A,LRP015c,BridgesDelay
43,Z3711,LRP015c,25.087138600000003,90.3355552,16.062,0,0.0,0,LRP016,BlankProcess
44,Z3711,LRP016,25.0879441,90.335833,16.158,0,0.0,0,LRP017b,BlankProcess
45,Z3711,LRP017b,25.089462863786,90.3363739069958,16.34,GANGINA PAR BOX CULVERT,31.8,A,LRP017d,BridgesDelay
