,Road,LRPName,Lat,Lon,Chainage,Description,Length,Cat,Next Node,Add On Process
0,Z8412,LRPS,23.0202771,89.92530490000001,0.0,0,0.0,0,LRPSa,BlankProcess
1,Z8412,LRPSa,23.020416,89.9252771,0.02,.,24.0,A,LRPSb,BridgesDelay
2,Z8412,LRPSb,23.0205827,89.92527709999999,0.038,0,0.0,0,LRPSc,BlankProcess
3,Z8412,LRPSc,23.028888199999997,89.92555490000001,0.958,0,0.0,0,LRP001,BlankProcess
4,Z8412,LRP001,23.029166,89.92561040000001,1.0,0,0.0,0,LRP002,BlankProcess
5,Z8412,LRP002,23.038194100000002,89.9268327,2.0,0,0.0,0,LRP002a,BlankProcess
6,Z8412,LRP002a,23.0391577846153,89.9271617692307,2.11,.,15.4,C,LRP002b,BridgesDelay
7,Z8412,LRP002b,23.0394719,89.9272771,2.145,0,0.0,0,LRP003,BlankProcess
8,Z8412,LRP003,23.046777399999996,89.929666,3.0,0,0.0,0,LRP003a,BlankProcess
9,Z8412,LRP003a,23.0473254363636,89.9299664909091,3.07,.,18.4,A,LRP003b,BridgesDelay
10,Z8412,LRP003b,23.047832999999997,89.9301104,3.128,0,0.0,0,LRP003c,BlankProcess
11,Z8412,LRP003c,23.0483268222222,89.9296906666666,3.2,.,8.8,C,LRP004,BridgesDelay
12,Z8412,LRP004,23.055166699999997,89.92730490000001,4.0,0,0.0,0,LRP004a,BlankProcess
13,Z8412,LRP004a,23.0581095251121,89.9264547766816,4.35,.,7.2,C,LRP004b,BridgesDelay
14,Z8412,LRP004b,23.0590556,89.92622159999999,4.462,0,0.0,0,LRP005,BlankProcess
15,Z8412,LRP005,23.0640278,89.9252493,5.0,0,0.0,0,LRP006,BlankProcess
16,Z8412,LRP006,23.0727493,89.92480490000001,6.0,0,0.0,0,LRP007,BlankProcess
17,Z8412,LRP007,23.0805827,89.92347159999998,7.0,0,0.0,0,LRP007a,BlankProcess
18,Z8412,LRP007a,23.083833,89.919916,7.678,0,0.0,0,LRP008,BlankProcess
19,Z8412,LRP008,23.0864997,89.91855490000002,8.0,0,0.0,0,LRP008a,BlankProcess
20,Z8412,LRP008a,23.091527399999997,89.91755490000001,8.592,0,0.0,0,LRP009,BlankProcess
21,Z8412,LRP009,23.0951108,89.9177771,9.0,0,0.0,0,LRP009a,BlankProcess
22,Z8412,LRP009a,23.096777399999997,89.9156944,9.328,0,0.0,0,LRP009b,BlankProcess
23,Z8412,LRP009b,23.098444100000002,89.91625,9.52,0,0.0,0,LRP009c,BlankProcess
24,Z8412,LRP009c,23.1015450583333,89.9163819708333,9.9,.,6.3,A,LRP010,BridgesDelay
25,Z8412,LRP010,23.1023611,89.9164167,10.0,0,0.0,0,LRP010b,BlankProcess
26,Z8412,LRP010b,23.107277800000002,89.9177216,10.585999999999999,0,0.0,0,LRP010a,BlankProcess
27,Z8412,LRP010a,23.1080872415458,89.9171984096618,10.69,.,3.5,A,LRP011,BridgesDelay
28,Z8412,LRP011,23.1105,89.9156389,11.0,0,0.0,0,LRP011a,BlankProcess
29,Z8412,LRP011a,23.1111336452736,89.9131347477611,11.28,.,3.5,A,LRP011b,BridgesDelay
30,Z8412,LRP011b,23.1121667,89.9100833,11.625,0,0.0,0,LRP012,BlankProcess
31,Z8412,LRP012,23.1148333,89.9078333,12.0,0,0.0,0,LRPE,BlankProcess
32,Z8412,LRPE,23.1188327,89.9033333,12.67,0,0.0,0,PreRome,BlankProcess
