,Road,LRPName,Lat,Lon,Chainage,Description,Length,Cat,Next Node,Add On Process
0,Z5046,LRPS,24.3250271,89.5624722,0.0,0,0.0,0,LRPSa,BlankProcess
1,Z5046,LRPSa,24.3268766481132,89.5584822018867,0.455,.,1.65,A,LRPSb,BridgesDelay
2,Z5046,LRPSb,24.3285827,89.5536944,0.98,0,0.0,0,LRP001,BlankProcess
3,Z5046,LRP001,24.328666000000002,89.5535556,1.0,0,0.0,0,LRP001a,BlankProcess
4,Z5046,LRP001a,24.3305593078947,89.546425475,1.77,.,7.4,D,LRP001b,BridgesDelay
5,Z5046,LRP001b,24.3305827,89.54633299999999,1.78,0,0.0,0,LRP002,BlankProcess
6,Z5046,LRP002,24.3313882,89.5444719,2.0,0,0.0,0,LRP002a,BlankProcess
7,Z5046,LRP002a,24.3340564520754,89.5405889128301,2.504,.,11.28,A,LRP002c,BridgesDelay
8,Z5046,LRP002c,24.3360474515625,89.5380586859375,2.835,.,56.32,A,LRP002b,BridgesDelay
9,Z5046,LRP002b,24.3361386,89.5379441,2.85,0,0.0,0,LRP003,BlankProcess
10,Z5046,LRP003,24.336971899999998,89.5367774,3.0,0,0.0,0,LRP004,BlankProcess
11,Z5046,LRP004,24.340083,89.52955490000001,4.0,0,0.0,0,LRP005,BlankProcess
12,Z5046,LRP005,24.3441663,89.52158270000001,5.0,0,0.0,0,LRP005a,BlankProcess
13,Z5046,LRP005a,24.3450274,89.51930490000001,5.29,0,0.0,0,LRP005b,BlankProcess
14,Z5046,LRP005b,24.35025,89.517416,5.922000000000001,0,0.0,0,LRP005c,BlankProcess
15,Z5046,LRP005c,24.350222199999997,89.51683270000001,5.98,0,0.0,0,LRP006,BlankProcess
16,Z5046,LRP006,24.3501944,89.5159167,6.0,0,0.0,0,LRP006a,BlankProcess
17,Z5046,LRP006a,24.3514444,89.51125,6.61,0,0.0,0,LRP007,BlankProcess
18,Z5046,LRP007,24.3524444,89.50738890000001,7.0,0,0.0,0,LRP008,BlankProcess
19,Z5046,LRP008,24.3558889,89.4974163,8.0,0,0.0,0,LRP009,BlankProcess
20,Z5046,LRP009,24.3553056,89.4896108,9.0,0,0.0,0,LRP009a,BlankProcess
21,Z5046,LRP009a,24.356416699999997,89.4838052,9.61,0,0.0,0,LRP010,BlankProcess
22,Z5046,LRP010,24.357055600000002,89.4799438,10.0,0,0.0,0,LRP010a,BlankProcess
23,Z5046,LRP010a,24.35725,89.4785271,10.16,0,0.0,0,LRP010b,BlankProcess
24,Z5046,LRP010b,24.3575,89.4768604,10.34,0,0.0,0,LRP010c,BlankProcess
25,Z5046,LRP010c,24.3575833,89.4764716,10.38,0,0.0,0,LRP011,BlankProcess
26,Z5046,LRP011,24.3586111,89.47069379999999,11.0,0,0.0,0,LRP011a,BlankProcess
