,Road,LRPName,Lat,Lon,Chainage,Description,Length,Cat,Next Node,Add On Process
0,Z1031,LRPS,23.061472199999997,91.3616667,0.0,0,0.0,0,LRP001,BlankProcess
1,Z1031,LRP001,23.0526944,91.36327779999999,1.0,0,0.0,0,LRP001a,BlankProcess
2,Z1031,LRP001a,23.049499700000002,91.36488890000001,1.39,0,0.0,0,LRP001b,BlankProcess
3,Z1031,LRP001b,23.047971899999997,91.3651667,1.496,0,0.0,0,LRP002,BlankProcess
4,Z1031,LRP002,23.0429997,91.36686040000001,2.0,0,0.0,0,LRP002a,BlankProcess
5,Z1031,LRP002a,23.0421539373134,91.3670930208955,2.102,RCC BRIDGE,7.0,A,LRP002b,BridgesDelay
6,Z1031,LRP002b,23.0371941,91.3693882,2.7289999999999996,0,0.0,0,LRP003,BlankProcess
7,Z1031,LRP003,23.035138600000003,91.3706104,3.0,0,0.0,0,LRP004,BlankProcess
8,Z1031,LRP004,23.0324716,91.3734993,3.43,0,0.0,0,LRP004a,BlankProcess
9,Z1031,LRP004a,23.0268604,91.3805827,4.325,0,0.0,0,LRP005,BlankProcess
10,Z1031,LRP005,23.026638199999997,91.3808604,4.437,0,0.0,0,LRP006,BlankProcess
11,Z1031,LRP006,23.0203049,91.38797190000001,5.452000000000001,0,0.0,0,LRP006a,BlankProcess
12,Z1031,LRP006a,23.0200549,91.3882774,5.502000000000001,0,0.0,0,LRP007,BlankProcess
13,Z1031,LRP007,23.014,91.3949997,6.475,0,0.0,0,LRP007a,BlankProcess
14,Z1031,LRP007a,23.0101111,91.39902740000001,6.97,0,0.0,0,LRP007b,BlankProcess
15,Z1031,LRP007b,23.010527800000002,91.40097220000001,7.205,0,0.0,0,LRP008,BlankProcess
16,Z1031,LRP008,23.012166699999998,91.4007222,7.475,0,0.0,0,LRP008a,BlankProcess
17,Z1031,LRP008a,23.0154167,91.40052779999999,7.8420000000000005,0,0.0,0,LRP008c,BlankProcess
18,Z1031,LRP008c,23.0168711885937,91.4009360090625,8.013,BOX CULVERT,1.5,A,LRP008b,BridgesDelay
19,Z1031,LRP008b,23.01807050375,91.4012726025,8.154,0,0.0,0,LRP009,BlankProcess
20,Z1031,LRP009,23.0208604,91.4020556,8.482000000000001,0,0.0,0,LRP009a,BlankProcess
21,Z1031,LRP009a,23.0287216,91.40638890000001,9.458,0,0.0,0,LRP010,BlankProcess
22,Z1031,LRP010,23.0295549,91.4070833,9.588,0,0.0,0,LRP010c,BlankProcess
23,Z1031,LRP010c,23.0311934393258,91.4118586089887,10.113,BOX CULVERT,1.0,A,LRP010a,BridgesDelay
24,Z1031,LRP010a,23.0314993,91.41275,10.211,0,0.0,0,LRP010b,BlankProcess
25,Z1031,LRP010b,23.0317216,91.41325,10.277000000000001,0,0.0,0,LRP011,BlankProcess
26,Z1031,LRP011,23.0332493,91.4156944,10.588,0,0.0,0,LRP012,BlankProcess
27,Z1031,LRP012,23.035383931952662,91.42488230414202,11.62,0,0.0,0,LRP013,BlankProcess
28,Z1031,LRP013,23.037444100000002,91.43374969999999,12.616,0,0.0,0,LRP013a,BlankProcess
29,Z1031,LRP013a,23.0372359259136,91.4350508817275,12.757,RCC BRIDGE,5.0,B,LRP013b,BridgesDelay
30,Z1031,LRP013b,23.037153193421,91.4371030763158,12.98,RCC BRIDGE,41.3,B,LRP013c,BridgesDelay
31,Z1031,LRP013c,23.0377497,91.4390552,13.198,0,0.0,0,LRP013d,BlankProcess
32,Z1031,LRP013d,23.038048954885,91.4406035126436,13.361,BAILEY WITH STEEL DECK,42.4,A,LRP014,BridgesDelay
33,Z1031,LRP014,23.038583,91.4435552,13.663,0,0.0,0,LRP014a,BlankProcess
34,Z1031,LRP014a,23.0397774,91.448083,14.164000000000001,0,0.0,0,LRP014b,BlankProcess
35,Z1031,LRP014b,23.0397774,91.4484441,14.205,0,0.0,0,LRP014c,BlankProcess
36,Z1031,LRP014c,23.0409441,91.4520556,14.607000000000001,0,0.0,0,LRP015,BlankProcess
37,Z1031,LRP015,23.041083,91.45236109999999,14.642999999999999,0,0.0,0,LRP016,BlankProcess
38,Z1031,LRP016,23.039971899999998,91.46161109999998,15.677999999999999,0,0.0,0,LRP016a,BlankProcess
39,Z1031,LRP016a,23.0397219,91.4637222,15.898,0,0.0,0,LRP016b,BlankProcess
40,Z1031,LRP016b,23.0396274005128,91.467577017094,16.296,RCC BRIDGE,13.0,B,LRP017,BridgesDelay
41,Z1031,LRP017,23.0396663,91.4713327,16.678,0,0.0,0,LRP017a,BlankProcess
42,Z1031,LRP017a,23.0392104341948,91.4724813650099,16.808,RCC BRIDGE,14.5,B,LRP018,BridgesDelay
43,Z1031,LRP018,23.0361386,91.4802216,17.684,0,0.0,0,LRP018a,BlankProcess
44,Z1031,LRP018a,23.03577746,91.483453725,18.022,RCC BRIDGE,61.2,B,LRP018b,BridgesDelay
45,Z1031,LRP018b,23.0356663,91.48602740000001,18.291,0,0.0,0,LRP019,BlankProcess
46,Z1031,LRP019,23.0363608,91.48983299999999,18.689,0,0.0,0,LRP019a,BlankProcess
47,Z1031,LRP019a,23.0369163,91.49274969999999,18.998,0,0.0,0,LRP019b,BlankProcess
48,Z1031,LRP019b,23.036944100000003,91.4928052,19.009,0,0.0,0,LRP020,BlankProcess
49,Z1031,LRP020,23.038110800000002,91.4994163,19.689,0,0.0,0,LRP020a,BlankProcess
50,Z1031,LRP020a,23.0381253165829,91.4994922517587,19.697,BAILEY WITH STEEL DECK,45.3,A,LRP020b,BridgesDelay
51,Z1031,LRP020b,23.038527399999996,91.5016944,19.929000000000002,0,0.0,0,LRP021,BlankProcess
52,Z1031,LRP021,23.041027399999997,91.5094722,20.143,0,0.0,0,LRP020c,BlankProcess
