,Road,LRPName,Lat,Lon,Chainage,Description,Length,Cat,Next Node,Add On Process
0,N208,LRPS,24.4713604,91.7655556,0.0,0,0.0,0,LRPSa,BlankProcess
1,N208,LRPSa,24.47419518,91.770249575,0.65,RATAULI BOX CULVERT,6.0,A,LRPSb,BridgesDelay
2,N208,LRPSb,24.4753160084,91.7721055005,0.907,NAYANAGAR BOX CULVERT,1.5,A,LRP001,BridgesDelay
3,N208,LRP001,24.4757216,91.7727771,1.0,0,0.0,0,LRP001a,BlankProcess
4,N208,LRP001a,24.4756387468852,91.7757850455737,1.303,BONOVITI BOX CULVERT,1.5,A,LRP001b,BridgesDelay
5,N208,LRP001b,24.4757216,91.77572159999998,1.82,0,0.0,0,LRP002,BlankProcess
6,N208,LRP002,24.4809716,91.77772159999999,2.0,0,0.0,0,LRP002a,BlankProcess
7,N208,LRP002a,24.4852497,91.7766382,2.509,0,0.0,0,LRP002b,BlankProcess
8,N208,LRP002b,24.4854163,91.77661040000001,2.526,0,0.0,0,LRP003,BlankProcess
9,N208,LRP003,24.489333,91.7751104,3.0,0,0.0,0,LRP003a,BlankProcess
10,N208,LRP003a,24.490971899999998,91.7744993,3.19,0,0.0,0,LRP003b,BlankProcess
11,N208,LRP003b,24.4935009116129,91.7742413077419,3.478,MONU PC GIRDER BRIDGE,133.0,A,LRP003c,BridgesDelay
12,N208,LRP003c,24.4948608,91.7734438,3.65,0,0.0,0,LRP004,BlankProcess
13,N208,LRP004,24.497888600000003,91.7734993,4.0,0,0.0,0,LRP004c,BlankProcess
14,N208,LRP004c,24.5004594350734,91.7783028721044,4.573,ISLAMPUR CULVERT,8.5,A,LRP004a,BridgesDelay
15,N208,LRP004a,24.5006389,91.7786382,4.613,0,0.0,0,LRP005,BlankProcess
16,N208,LRP005,24.501777800000003,91.7823327,5.0,0,0.0,0,LRP005a,BlankProcess
17,N208,LRP005a,24.502805600000002,91.7859441,5.382999999999999,0,0.0,0,LRP005c,BlankProcess
18,N208,LRP005c,24.503549793446,91.7901272894291,5.82,RAISREE CULVERT,2.5,A,LRP005b,BridgesDelay
19,N208,LRP005b,24.5036111,91.7904719,5.856,0,0.0,0,LRP006,BlankProcess
