,Road,LRPName,Lat,Lon,Chainage,Description,Length,Cat,Next Node,Add On Process
0,R250,LRPS,24.8859997,91.8681382,0.0,0,0.0,0,LRP001,BlankProcess
1,R250,LRP001,24.8818327,91.8754438,1.0,0,0.0,0,LRP001a,BlankProcess
2,R250,LRP001a,24.8823049,91.8701938,1.002,0,0.0,0,LRP001b,BlankProcess
3,R250,LRP001b,24.8818049,91.87288819999999,1.003,0,0.0,0,LRP002,BlankProcess
4,R250,LRP002,24.879388199999998,91.8768604,1.315,0,0.0,0,LRP002a,BlankProcess
5,R250,LRP002a,24.8788604,91.8772493,1.389,0,0.0,0,LRP002b,BlankProcess
6,R250,LRP002b,24.878638199999997,91.8774993,1.431,0,0.0,0,LRP002c,BlankProcess
7,R250,LRP002c,24.8761104,91.881666,1.948,GOTATIKOR BOX CULVERT,3.0,A,LRP003,BridgesDelay
8,R250,LRP003,24.8755827,91.885333,2.315,0,0.0,0,LRP004,BlankProcess
9,R250,LRP004,24.874249300000002,91.89527740000001,3.325,0,0.0,0,LRP004a,BlankProcess
10,R250,LRP004a,24.8729016562737,91.9025673711026,4.083,KUCHY BOX CULVERT,3.0,A,LRP005,BridgesDelay
11,R250,LRP005,24.872416,91.9049444,4.325,0,0.0,0,LRP006,BlankProcess
12,R250,LRP006,24.868416,91.91363890000001,5.325,0,0.0,0,LRP006a,BlankProcess
13,R250,LRP006a,24.8677919225945,91.9144701048648,5.432,KUCHY BOX CULVERT,3.0,A,LRP007,BridgesDelay
14,R250,LRP007,24.862777800000003,91.9213882,6.325,0,0.0,0,LRP007a,BlankProcess
15,R250,LRP007a,24.8581944,91.92772159999998,7.145,0,0.0,0,LRP008,BlankProcess
16,R250,LRP008,24.8571111,91.9291104,7.325,0,0.0,0,LRP008a,BlankProcess
17,R250,LRP008a,24.852472199999998,91.9343052,8.07,0,0.0,0,LRP009,BlankProcess
18,R250,LRP009,24.8511389,91.9357774,8.28,0,0.0,0,LRP010,BlankProcess
19,R250,LRP010,24.8473052,91.9444997,9.28,0,0.0,0,LRP011,BlankProcess
20,R250,LRP011,24.847944100000003,91.95469440000001,10.31,0,0.0,0,LRP012,BlankProcess
21,R250,LRP012,24.849083,91.9644444,11.305,0,0.0,0,LRP013,BlankProcess
22,R250,LRP013,24.852222199999996,91.9738327,12.305,0,0.0,0,LRP013a,BlankProcess
