,Road,LRPName,Lat,Lon,Chainage,Description,Length,Cat,Next Node,Add On Process
0,N309,LRPS,24.740083,90.4249993,0.0,0,0.0,0,LRPSa,BlankProcess
1,N309,LRPSa,24.739777399999998,90.4246938,0.048,0,0.0,0,LRP001,BlankProcess
2,N309,LRP001,24.7396108,90.42452709999999,0.078,0,0.0,0,LRPSc,BlankProcess
3,N309,LRPSc,24.7386000538461,90.4233625692307,0.242,BDAR PUR BOX CULVERT,3.0,A,LRP001b,BridgesDelay
4,N309,LRP001b,24.7385274,90.42327709999999,0.254,0,0.0,0,LRPSd,BlankProcess
5,N309,LRPSd,24.7340033018867,90.4188347301886,0.93,KEYAT KHALI BOX CULVERT,3.0,A,LRP001c,BridgesDelay
6,N309,LRP001c,24.7339163,90.4187493,0.943,0,0.0,0,LRP002,BlankProcess
7,N309,LRP002,24.733110399999997,90.41780490000001,1.078,0,0.0,0,LRP002a,BlankProcess
8,N309,LRP002a,24.7293882,90.4147778,1.599,0,0.0,0,LRP001a,BlankProcess
9,N309,LRP001a,24.7293882,90.4147778,1.599,DEGER KANDA CULVERT,3.0,A,LRP002b,BridgesDelay
10,N309,LRP002b,24.7268604,90.4133056,1.9240000000000002,0,0.0,0,LRP003,BlankProcess
11,N309,LRP003,24.7251938,90.4125,2.1180000000000003,0,0.0,0,LRP003a,BlankProcess
12,N309,LRP003a,24.724916,90.4126667,2.148,0,0.0,0,LRP002c,BlankProcess
13,N309,LRP002c,24.7190303837209,90.4109624901162,2.835,DEGERKAMDA CULVERT,19.1,A,LRP003c,BridgesDelay
14,N309,LRP003c,24.718971600000003,90.4109444,2.842,0,0.0,0,LRP004,BlankProcess
15,N309,LRP004,24.716333300000002,90.4100833,3.1180000000000003,0,0.0,0,LRP004a,BlankProcess
16,N309,LRP004a,24.7163611,90.40977779999999,3.16,0,0.0,0,LRP004b,BlankProcess
17,N309,LRP004b,24.7171938,90.4076944,3.395,0,0.0,0,LRP003b,BlankProcess
18,N309,LRP003b,24.7172586329875,90.4075681914937,3.41,DIGARKANDI CULVERT,6.0,A,LRP004c,BridgesDelay
19,N309,LRP004c,24.7192771,90.4036389,3.877,0,0.0,0,LRP005,BlankProcess
20,N309,LRP005,24.7211104,90.4020556,4.128,0,0.0,0,LRP005b,BlankProcess
21,N309,LRP005b,24.7259716,90.39777740000001,4.823,0,0.0,0,LRP005c,BlankProcess
22,N309,LRP005c,24.7280549,90.3957219,5.138,0,0.0,0,LRP005a,BlankProcess
23,N309,LRP005a,24.728186855,90.3955635825,5.157,barero culvert,6.1,A,LRP006,BridgesDelay
24,N309,LRP006,24.7283327,90.39538859999999,5.178,0,0.0,0,LRP006a,BlankProcess
25,N309,LRP006a,24.7310549,90.3923052,5.619,0,0.0,0,LRP006b,BlankProcess
26,N309,LRP006b,24.733638600000003,90.3886108,6.098,0,0.0,0,LRP006c,BlankProcess
27,N309,LRP006c,24.7340274,90.38763859999999,6.1979999999999995,0,0.0,0,LRP007,BlankProcess
28,N309,LRP007,24.7340552,90.3876108,6.202999999999999,0,0.0,0,LRP007a,BlankProcess
29,N309,LRP007a,24.738694100000004,90.38297159999999,6.912999999999999,0,0.0,0,LRP007b,BlankProcess
30,N309,LRP007b,24.7398052,90.3820271,7.074,0,0.0,0,LRP008,BlankProcess
31,N309,LRP008,24.740721899999997,90.3809438,7.212999999999999,0,0.0,0,LRP008a,BlankProcess
32,N309,LRP008a,24.7423608,90.3787493,7.502000000000001,0,0.0,0,LRP008b,BlankProcess
33,N309,LRP008b,24.746333,90.3787493,8.192,0,0.0,0,LRP009,BlankProcess
34,N309,LRP009,24.7466108,90.37347159999999,8.222999999999999,0,0.0,0,LRP009a,BlankProcess
35,N309,LRP009a,24.748638600000003,90.3706104,8.572000000000001,0,0.0,0,LRP009b,BlankProcess
36,N309,LRP009b,24.7529722,90.3674993,9.152000000000001,0,0.0,0,LRP010,BlankProcess
37,N309,LRP010,24.7534167,90.3672216,9.228,0,0.0,0,LRP010a,BlankProcess
38,N309,LRP010a,24.7573611,90.3638611,9.783999999999999,0,0.0,0,LRP010b,BlankProcess
39,N309,LRP010b,24.7603889,90.3612222,10.218,0,0.0,0,LRP011,BlankProcess
40,N309,LRP011,24.760611100000002,90.36102779999999,10.248,0,0.0,0,LRP011a,BlankProcess
41,N309,LRP011a,24.7613889,90.36027779999999,10.43,0,0.0,0,LRP011b,BlankProcess
42,N309,LRP011b,24.76375,90.3601944,10.628,0,0.0,0,LRP011c,BlankProcess
43,N309,LRP011c,24.7641389,90.36025,10.673,0,0.0,0,LRP011d,BlankProcess
44,N309,LRP011d,24.766138899999998,90.35925,10.937999999999999,0,0.0,0,LRP012,BlankProcess
45,N309,LRP012,24.7682216,90.3569167,11.263,0,0.0,0,LRP012a,BlankProcess
46,N309,LRP012a,24.7738882,90.3510556,12.154000000000002,0,0.0,0,LRP013,BlankProcess
47,N309,LRP013,24.7748882,90.3503333,12.273,0,0.0,0,LRP013a,BlankProcess
48,N309,LRP013a,24.7800271,90.3461108,13.022,0,0.0,0,LRP013b,BlankProcess
49,N309,LRP013b,24.7811104,90.3452497,13.139000000000001,0,0.0,0,LRP014,BlankProcess
50,N309,LRP014,24.7822493,90.34424969999999,13.293,0,0.0,0,LRPE,BlankProcess
51,N309,LRPE,24.7822771,90.34422190000001,13.302999999999999,0,0.0,0,PreRome,BlankProcess
