road,km,type,LRPName,name,length,condition,structureNr,roadName,chainage,width,constructionYear,spans,zone,circle,division,sub-division,lat,lon,EstimatedLoc
Z2003,32.573,Box Culvert,LRP032a,Box Culvert,3,A,114793,Kulaura-Shamshernagar-Srimangal Road,32.573,7.8,1998,1,Sylhet,Moulavi Bazar,Moulavi Bazar,Sreemongal,24.44719444,91.9565,bcs1
Z3037,9.15,Box Culvert,LRP009b,NARANGICULVERT,3,C,108944,Bhoradoba-Sagardighi-Ghatail-Bhuanpur Road,9.15,9.85,1986,1,Mymensingh,Mymensingh,Mymensingh,Bhaluka,24.44711111,90.29661111,bcs1
R451,4.779,Box Culvert,LRP005a,2- Vent box Culvert,9.95,B,100089,Nalka-Sirajganj Road,4.779,9.76,1985,2,Rajshahi,Pabna,Sirajganj,Sirajgonj-1,24.44694444,89.63277778,bcs1
Z5208,21.21,Box Culvert,LRP021a,.,8.6,A,116199,Singra-Baruhas-Taras Road,21.21,5.2,1993,2,Rajshahi,Pabna,Pabna,Pabna-2,24.44675,89.33133333,bcs1
Z3037,5.637,Box Culvert,LRP005b,BOGA GON BOX CULVERT,2.1,A,108976,Bhoradoba-Sagardighi-Ghatail-Bhuanpur Road,5.637,6,1984,1,Mymensingh,Mymensingh,Mymensingh,Bhaluka,24.44666667,90.33005556,bcs1
Z5211,1.871,Slab Culvert,LRP002b,.,7,C,106702,Natore (Dalsarak)-Bildahar-Gurudaspur Road,1.871,4.81,1986,1,Rajshahi,Pabna,Natore,Natore-1,24.44666667,89.06277778,bcs1
Z3603,7.301,Box Culvert,LRP007b,JAPREBART,1,A,112835,Kishoreganj-Karimganj-Chamraghat-Mithamain Road,7.301,5.66,1989,1,Mymensingh,Mymensingh,Kishoreganj,Kishoreganj,24.44647222,90.85391667,bcs1
N502,56.458,RCC Girder Bridge,LRP056b,Eichand Bridge,38.32,C,119461,Bogra (Jahangirabad)-Natore Road,56.458,,,,Rajshahi,Pabna,Natore,Natore-1,24.44643115,89.04189829,road_interpolate
Z5211,0.96,Slab Culvert,LRP001a,.,3.48,C,106667,Natore (Dalsarak)-Bildahar-Gurudaspur Road,0.96,3.6,1978,1,Rajshahi,Pabna,Natore,Natore-1,24.44638889,89.05416667,bcs1
Z2823,18.648,Box Culvert,LRP018b,DHALINADI BOX CULVERT,5.7,D,107278,Kulaura-Juri-Fultala Road,18.648,4.1,1985,1,Sylhet,Moulavi Bazar,Moulavi Bazar,Kulaura,24.44622222,92.1555,bcs1
N2,164.225,Box Culvert,LRP165c,ROKAMPUR BOX CULVERT,2,A,103601,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,164.225,12.45,2004,1,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.44619444,91.57097222,bcs1
N502,56.458,RCC Girder Bridge,LRP056b,.,38.34,A,110859,Bogra (Jahangirabad)-Natore Road,56.458,7.88,1997,3,Rajshahi,Pabna,Natore,Natore-1,24.44583333,89.04055556,bcs1
Z6005,8.37,RCC Girder Bridge,LRP008a,Durgapur Bridge.,20.35,D,107039,Shibpur-Durgapur-Taherpur Road,8.37,4.26,1975,3,Rajshahi,Rajshahi,Rajshahi,Rajshahi-2,24.44583333,88.76305556,bcs1
N502,57.132,RCC Girder Bridge,LRP057b,Nowapara Bridge,12.36,A,121791,Bogra (Jahangirabad)-Natore Road,57.132,,,,Rajshahi,Pabna,Natore,Natore-1,24.445833,89.0404997,road_precise
Z2002,8.66,Box Culvert,LRP008b,CHATROGUTBOX CULVERT,1.5,A,107182,Moulvibazar-Shamshernagar-Chatla Check Post Road,8.66,7.85,1998,1,Sylhet,Moulavi Bazar,Moulavi Bazar,Moulavi Bazar,24.44555556,91.83116667,bcs1
Z5211,1.408,Box Culvert,LRP002a,.,4.86,A,106671,Natore (Dalsarak)-Bildahar-Gurudaspur Road,1.408,7.4,1988,1,Rajshahi,Pabna,Natore,Natore-1,24.44555556,89.05833333,bcs1
Z3037,5.008,Baily with Steel Deck,LRP004a,NEGURI KHAT BAILY BRIDGE,24.6,C,102735,Bhoradoba-Sagardighi-Ghatail-Bhuanpur Road,5.008,3.65,1994,1,Mymensingh,Mymensingh,Mymensingh,Bhaluka,24.44555556,90.33594444,bcs1
Z3603,7.13,Slab Culvert,LRP007a,MACHIMPUR(2),1.1,A,112832,Kishoreganj-Karimganj-Chamraghat-Mithamain Road,7.13,5.66,1992,1,Mymensingh,Mymensingh,Kishoreganj,Kishoreganj,24.44541667,90.85311111,bcs1
N4,84.767,Box Culvert,LRP084a,BAMON SO SAN BOX CULVERT,3,A,107118,Joydebpur-Tangail-Jamalpur Road,84.767,12.3,1995,1,Mymensingh,Jamalpur,Tangail,Madhupur,24.44533333,89.982,bcs1
Z5211,2.811,Slab Culvert,LRP003a,.,3.95,B,106706,Natore (Dalsarak)-Bildahar-Gurudaspur Road,2.811,4.86,1990,1,Rajshahi,Pabna,Natore,Natore-1,24.44527778,89.07111111,bcs1
Z3033,42.205,Slab Culvert,LRP043a,EMAMBARI,1.7,B,104813,Mymensingh-Gafargaon-Toke Road,42.205,8.2,1980,1,Mymensingh,Mymensingh,Mymensingh,Bhaluka,24.44516667,90.56230556,bcs1
Z3037,1.294,Box Culvert,LRP001a,MADUARI BOX CUVERT,1.8,A,102732,Bhoradoba-Sagardighi-Ghatail-Bhuanpur Road,1.294,7.35,1982,1,Mymensingh,Mymensingh,Mymensingh,Bhaluka,24.44511111,90.37061111,bcs1
N2,164.088,RCC Girder Bridge,LRP165a,ROKAM PUR RCC GIDER BRIDGE,19.5,B,103597,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,164.088,10.5,2004,1,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.44511111,91.57055556,bcs1
R548,46.302,Box Culvert,LRP046a,.,3.61,B,100939,Naogaon-Atrai-Natore Road,46.302,7.31,1988,1,Rajshahi,Pabna,Natore,Natore-1,24.445,88.95861111,bcs1
N2,164.088,PC Girder Bridge,LRP165a,Rokonpur Bridge,19.5,B,120934,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,164.088,,,,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.4449997,91.5705549,road_precise
R451,3.791,Box Culvert,LRP004a,RCC box Culvert,3.7,A,100079,Nalka-Sirajganj Road,3.791,9.7,1985,1,Rajshahi,Pabna,Sirajganj,Sirajgonj-1,24.44472222,89.62305556,bcs1
Z5402,0.923,Box Culvert,LRPSa,.,6.96,A,110035,Sirajganj-Kadda-Samespur Road,0.923,6.76,1988,1,Rajshahi,Pabna,Sirajganj,Sirajgonj-1,24.44444444,89.70777778,bcs1
Z6809,8.892,Slab Culvert,LRP009b,.,1.7,C,108754,Rajshahi-Damkurahat-Kakanhat-Amnura Road,8.892,6,1991,1,Rajshahi,Rajshahi,Rajshahi,Rajshahi-1,24.44444444,88.50583333,bcs1
Z6010,12.34,RCC Girder Bridge,LRP012b,.,30,A,116110,Rajshahi-Hatgodagari-Faliarbil-Mohonganj Road,12.34,5.5,1985,3,Rajshahi,Rajshahi,Rajshahi,Rajshahi-2,24.44427778,88.69133333,bcs1
R240,24.44,Box Culvert,LRP024c,SEKANDARPUR KECHPARA,6.2,B,102202,Shaistaganj-Habiganj-Nabiganj-Sherpur (Auskandi) Road,24.44,8.45,1994,1,Sylhet,Moulavi Bazar,Habiganj,Habigonj,24.44419444,91.45380556,bcs1
R240,23.814,RCC Girder Bridge,LRP024a,Sikandarpur Bridge,18.5,A,121011,Shaistaganj-Habiganj-Nabiganj-Sherpur (Auskandi) Road,23.814,,,,Sylhet,Moulavi Bazar,Habiganj,Habigonj,24.4441941,91.4537778,road_precise
Z3037,1.601,Slab Culvert,LRP001b,BAG SHATRA SLAB CULVERT,1.75,A,102733,Bhoradoba-Sagardighi-Ghatail-Bhuanpur Road,1.601,5.5,1982,1,Mymensingh,Mymensingh,Mymensingh,Bhaluka,24.44411111,90.36780556,bcs1
Z3603,6.799,Box Culvert,LRP006c,MACHIMPUR,1.2,A,112826,Kishoreganj-Karimganj-Chamraghat-Mithamain Road,6.799,8.1,1987,1,Mymensingh,Mymensingh,Kishoreganj,Kishoreganj,24.44408333,90.85044444,bcs1
N502,57.947,RCC Girder Bridge,LRP058a,Haguria Bridge,12.54,B,119464,Bogra (Jahangirabad)-Natore Road,57.947,,,,Rajshahi,Pabna,Natore,Natore-1,24.4436663,89.0337497,road_precise
Z6005,7.839,Slab Culvert,LRP007b,.,2.1,C,107035,Shibpur-Durgapur-Taherpur Road,7.839,7.32,1990,1,Rajshahi,Rajshahi,Rajshahi,Rajshahi-2,24.44333333,88.76555556,bcs1
Z6809,8.646,Slab Culvert,LRP009a,.,1.65,C,108747,Rajshahi-Damkurahat-Kakanhat-Amnura Road,8.646,8.6,1990,1,Rajshahi,Rajshahi,Rajshahi,Rajshahi-1,24.44333333,88.50777778,bcs1
Z3603,4.555,Box Culvert,LRP004a,JALEBART(2),4,A,112814,Kishoreganj-Karimganj-Chamraghat-Mithamain Road,4.555,8.1,1998,1,Mymensingh,Mymensingh,Kishoreganj,Kishoreganj,24.44327778,90.82891667,bcs1
Z5208,22.34,RCC Girder Bridge,LRP022a,.,9.6,A,116200,Singra-Baruhas-Taras Road,22.34,5,1990,1,Rajshahi,Pabna,Pabna,Pabna-2,24.44313889,89.34152778,bcs1
