road;km;type;LRPName;name;length;condition;structureNr;roadName;chainage;width;constructionYear;spans;zone;circle;division;sub-division;lat;lon;EstimatedLoc
N1;17.222;PC Girder Bridge;LRP018a;Darikandi Bridge (L);20.5;A;119921;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;17.222;;;;Dhaka;Dhaka;Narayanganj;Vitikandi;23.65397226;90.57741042;interpolate
N1;18.093;PC Girder Bridge;LRP018c;Sonakhal Bridge(L);25.5;A;119933;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;18.093;;;;Dhaka;Dhaka;Narayanganj;Vitikandi;23.6497544;90.58454901;interpolate
N1;19.76;Box Culvert;LRP020a;KRIBORDI BOX CULVERT;6;A;109817;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;19.76;21;2001;1;Dhaka;Dhaka;Narayanganj;Vitikandi;23.63795437;90.5936674;interpolate
N1;21.184;PC Girder Bridge;LRP021c;Marikhali Bridge(L);86.92;A;119944;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;21.184;;;;Dhaka;Dhaka;Narayanganj;Vitikandi;23.62846685;90.60230157;interpolate
N1;21.184;PC Girder Bridge;LRP021d;Marikhali Bridge(R);89.75;A;119948;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;21.184;;;;Dhaka;Dhaka;Narayanganj;Vitikandi;23.62846685;90.60230157;interpolate
N1;21.184;PC Girder Bridge;LRP021c;MARIKHALL BRIDGE;89.2;A;101103;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;21.184;9.2;2000;3;Dhaka;Dhaka;Narayanganj;Vitikandi;23.62846685;90.60230157;interpolate
N1;22.596;PC Girder Bridge;LRP023a;ASHIR CHAR (Right);224.8;A;109820;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;22.596;9.15;2004;9;Dhaka;Dhaka;Narayanganj;Vitikandi;23.6176408;90.60955061;interpolate
N1;23.081;PC Girder Bridge;LRP023d;Asharirchar-2 Bridge.(R);119.32;A;119964;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;23.081;;;;Dhaka;Dhaka;Narayanganj;Vitikandi;23.61358738;90.61090296;interpolate
N1;23.081;PC Girder Bridge;LRP023c;Ashariachar-2 Bridge.(L);119.48;A;119961;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;23.081;;;;Dhaka;Dhaka;Narayanganj;Vitikandi;23.61358738;90.61090296;interpolate
N1;23.081;PC Girder Bridge;LRP023c;ASHARIR CHAR (L);120.1;A;109796;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;23.081;9.5;2000;4;Dhaka;Dhaka;Narayanganj;Vitikandi;23.61358738;90.61090296;interpolate
N1;24.393;PC Girder Bridge;LRP024a;Meghna Bridge;924.85;A;119967;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;24.393;;;;Dhaka;Dhaka;Narayanganj;Vitikandi;23.60275959;90.6155317;interpolate
N1;26.115;Box Culvert;LRP026a;TATULTALA CULVERT;5.6;A;101132;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;26.115;10.3;1989;1;Dhaka;Dhaka;Narayanganj;Vitikandi;23.59298188;90.62796994;interpolate
N1;26.452;Box Culvert;LRP026b;BAILAKANDI CULVERT;5.5;A;101142;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;26.452;20.9;1989;1;Dhaka;Dhaka;Narayanganj;Vitikandi;23.59080885;90.63023686;interpolate
N1;27.12;Box Culvert;LRP027a;MALUAKANDI CULVEDRT;5.6;A;101150;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;27.12;21;1989;1;Dhaka;Dhaka;Narayanganj;Vitikandi;23.58631812;90.63450942;interpolate
N1;28.315;PC Girder Bridge;LRP028b;Bhater char Bridge (L);172.1;A;119976;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;28.315;;;;Dhaka;Dhaka;Narayanganj;Vitikandi;23.57798002;90.64191931;interpolate
N1;28.315;PC Girder Bridge;LRP028a;Bhater char Bridge (R);173.25;A;119973;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;28.315;;;;Dhaka;Dhaka;Narayanganj;Vitikandi;23.57798002;90.64191931;interpolate
N1;28.315;PC Girder Bridge;LRP028a;BHATIR CHAR BRIDGE;163.5;A;101101;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;28.315;9.2;2000;6;Dhaka;Dhaka;Narayanganj;Vitikandi;23.57798002;90.64191931;interpolate
N1;29.138;PC Girder Bridge;LRP029a;Anarpara Bridge (L);29.85;A;119977;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;29.138;;;;Dhaka;Dhaka;Narayanganj;Vitikandi;23.57163063;90.64541592;interpolate
N1;29.138;PC Girder Bridge;LRP029b;Anarpara Bridge (R);29.77;A;119980;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;29.138;;;;Dhaka;Dhaka;Narayanganj;Vitikandi;23.57163063;90.64541592;interpolate
N1;29.138;PC Girder Bridge;LRP029a;ANARPUR BRIDGE(R);29;A;101108;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;29.138;9.3;2004;1;Dhaka;Dhaka;Narayanganj;Vitikandi;23.57163063;90.64541592;interpolate
N1;29.138;PC Girder Bridge;LRP029a;ANAR PURA BRIDGE(L);29;A;101104;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;29.138;9.3;2004;1;Dhaka;Dhaka;Narayanganj;Vitikandi;23.57163063;90.64541592;interpolate
N1;29.842;Box Culvert;LRP030a;VITIKANDA - ANAR PUR CULVERT;34.7;A;101113;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;29.842;21;1992;7;Dhaka;Dhaka;Narayanganj;Vitikandi;23.5660034;90.64862372;interpolate
N1;30.908;PC Girder Bridge;LRP031a;Alipur bridge(R);27.4;A;120009;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;30.908;;;;Dhaka;Dhaka;Narayanganj;Vitikandi;23.55919103;90.65574757;interpolate
N1;30.908;PC Girder Bridge;LRP031a;Alipur bridge(L);27.4;A;120012;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;30.908;;;;Dhaka;Dhaka;Narayanganj;Vitikandi;23.55919103;90.65574757;interpolate
N1;30.908;PC Girder Bridge;LRP031a;ALI PURA P.C BRIDGE (RIGHT);26.3;A;101120;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;30.908;9.2;2004;1;Dhaka;Dhaka;Narayanganj;Vitikandi;23.55919103;90.65574757;interpolate
N1;31.472;PC Girder Bridge;LRP032a;Bhaber char Bridge(R);29.85;A;120017;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;31.472;;;;Dhaka;Dhaka;Narayanganj;Vitikandi;23.55570829;90.65974142;interpolate
N1;31.472;PC Girder Bridge;LRP032b;Bhaber char Bridge(L);29.83;A;120022;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;31.472;;;;Dhaka;Dhaka;Narayanganj;Vitikandi;23.55570829;90.65974142;interpolate
N1;31.472;PC Girder Bridge;LRP032a;VOBAR CHAR (L);29;A;109831;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;31.472;9.2;2003;1;Dhaka;Dhaka;Narayanganj;Vitikandi;23.55570829;90.65974142;interpolate
N1;31.472;PC Girder Bridge;LRP032a;VOBAR CHAR BRIDGE(R);29;A;109826;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;31.472;9.2;2003;1;Dhaka;Dhaka;Narayanganj;Vitikandi;23.55570829;90.65974142;interpolate
N1;32.121;PC Girder Bridge;LRP032d;Baushia Bridge(R);29.87;A;120025;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;32.121;;;;Dhaka;Dhaka;Narayanganj;Vitikandi;23.55174219;90.66435388;interpolate
N1;32.121;PC Girder Bridge;LRP032e;Baushia Bridge(L);29.9;A;120026;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;32.121;;;;Dhaka;Dhaka;Narayanganj;Vitikandi;23.55174219;90.66435388;interpolate
N1;32.121;PC Girder Bridge;LRP032d;BOBARCHAR BRIDGE(L);28.9;A;109825;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;32.121;9.2;2004;1;Dhaka;Dhaka;Narayanganj;Vitikandi;23.55174219;90.66435388;interpolate
N1;32.121;PC Girder Bridge;LRP032d;BOBAIRCHAR BRIDGE(R);28.9;A;109832;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;32.121;9.2;2004;1;Dhaka;Dhaka;Narayanganj;Vitikandi;23.55174219;90.66435388;interpolate
N1;32.777;Box Culvert;LRP033a;PURRANBUICHE BOX CULVERT;9.1;A;109843;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;32.777;21;2002;2;Dhaka;Dhaka;Narayanganj;Vitikandi;23.54773774;90.66905541;interpolate
N1;32.796;Box Culvert;LRP033b;NOYAPARA;5.2;A;112533;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;32.796;12.2;1992;2;Dhaka;Dhaka;Narayanganj;Vitikandi;23.54762464;90.66919207;interpolate
N1;33.591;PC Girder Bridge;LRP034a;Madhya Baushia Bridge(L);72.49;A;120028;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;33.591;9.15;2000;2;Dhaka;Dhaka;Narayanganj;Vitikandi;23.54268543;90.67482921;interpolate
N1;33.591;PC Girder Bridge;LRP034a;MADHAYA BAUSHIA BRIDGE(R);59.2;A;109845;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;33.591;9.2;2000;2;Dhaka;Dhaka;Narayanganj;Vitikandi;23.54268543;90.67482921;interpolate
N1;33.591;PC Girder Bridge;LRP034a;MADHAYA BAUSHIA(L);70;A;109839;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;33.591;9.2;2000;2;Dhaka;Dhaka;Narayanganj;Vitikandi;23.54268543;90.67482921;interpolate
N1;33.591;PC Girder Bridge;LRP034b;Madhya Baushia Bridge(R);59.83;A;120029;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;33.591;10.15;2000;2;Dhaka;Dhaka;Narayanganj;Vitikandi;23.54268543;90.67482921;interpolate
N1;35.181;Box Culvert;LRP035a;.;9.5;A;117863;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;35.181;21.2;2000;2;Dhaka;Dhaka;Narayanganj;Vitikandi;23.53277519;90.68587011;interpolate
N1;35.408;PC Girder Bridge;LRP036a;Baushia bazar Bridge( L );25.45;A;120030;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;35.408;;;;Dhaka;Dhaka;Narayanganj;Vitikandi;23.53139966;90.68744893;interpolate
N1;35.408;PC Girder Bridge;LRP036b;Baushia bazar Bridge ( R );25.45;A;120031;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;35.408;;;;Dhaka;Dhaka;Narayanganj;Vitikandi;23.53139966;90.68744893;interpolate
N1;35.707;Box Culvert;LRP036c;CHAR BOUSHEA (2);8.4;A;101125;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;35.707;21.1;1998;2;Dhaka;Dhaka;Narayanganj;Vitikandi;23.53015196;90.68979518;interpolate
N1;37.01;PC Box;LRP037a;Daudkandi Bridge.;1408.8;A;120033;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;37.01;;;;Dhaka;Dhaka;Narayanganj;Vitikandi;23.53038447;90.70244027;interpolate
N1;48.384;RCC Girder Bridge;LRP049a;Ginlatoly bridge;15.9;A;120392;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;48.384;;;;Comilla;Comilla;Comilla;Gouripur;23.53182348;90.81101551;interpolate
N1;50.558;Box Culvert;LRP051a;RAIPUR BOX CULVERT;12.2;A;101147;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;50.558;11.6;1988;2;Comilla;Comilla;Comilla;Gouripur;23.53297433;90.83097748;interpolate
N1;63.538;Box Culvert;LRP064c;SONAPUR BOX CULVERT;3;A;101169;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;63.538;12.4;1992;1;Comilla;Comilla;Comilla;Gouripur;23.50135519;90.94738441;interpolate
N1;68.04;Box Culvert;LRP068a;MILL GHAT BOX CULVERT;4.5;A;101175;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;68.04;8.3;1991;1;Comilla;Comilla;Comilla;Gouripur;23.49327281;90.98872004;interpolate
N1;76.481;Slab Culvert;LRP077a;NIMSHAR SLAB CULVERT;1.5;A;101189;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;76.481;12.3;1999;1;Comilla;Comilla;Comilla;Gouripur;23.48061309;91.06740977;interpolate
N1;82.437;Box Culvert;LRP083a;TIPRA BAZAR BOX CULVERT;1.4;A;101200;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;82.437;12.2;1993;1;Comilla;Comilla;Comilla;Gouripur;23.47940839;91.12389208;interpolate
N1;82.989;Slab Culvert;LRP083b;AMTOLI SLAB CULVERT;2.9;A;101202;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;82.989;12;1985;1;Comilla;Comilla;Comilla;Comilla;23.47954492;91.12904714;interpolate
N1;87.713;RCC Girder Bridge;LRP088a;DHANPUR RCC GIDER BRIDGE;23.4;A;101205;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;87.713;9.2;1988;3;Comilla;Comilla;Comilla;Comilla;23.44363396;91.14936682;interpolate
N1;97.257;RCC Girder Bridge;LRP098a;RAZAPARA RCC GIDER BRIDGE;27.9;A;101218;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;97.257;9.2;1995;3;Comilla;Comilla;Comilla;Comilla;23.39765182;91.22342213;interpolate
N1;100.938;RCC Girder Bridge;LRP101a;Suagazi Bridge.;30.48;A;120403;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;100.938;;;;Comilla;Comilla;Comilla;Comilla;23.37136478;91.24501754;interpolate
N1;100.938;RCC Girder Bridge;LRP101a;SUAGAZI RCC GIDER BRIDGE;30.4;A;101220;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;100.938;9.2;1990;4;Comilla;Comilla;Comilla;Comilla;23.37136478;91.24501754;interpolate
N1;104.753;Box Culvert;LRP105a;CHANSIRI BOXCUIVERT;14.3;A;101225;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;104.753;8.5;1974;3;Comilla;Comilla;Comilla;Comilla;23.34267147;91.26448564;interpolate
N1;106.519;Box Culvert;LRP107a;MIABAZAR BOX CULVERT;24;A;101227;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;106.519;10.4;1974;5;Comilla;Comilla;Comilla;Comilla;23.33014623;91.27487928;interpolate
N1;108.125;Box Culvert;LRP109a;NOYA BAZER BOX CULVERT;9.2;A;101230;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;108.125;11.5;1990;2;Comilla;Comilla;Comilla;Comilla;23.31806969;91.28308673;interpolate
N1;110.551;Box Culvert;LRP111a;LALGORE BEZER CULVERT;3.2;A;101135;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;110.551;12.2;1986;1;Comilla;Comilla;Comilla;Comilla;23.29796753;91.29101414;interpolate
N1;111.509;Box Culvert;LRP112a;SUPUYA BOX CULVERT;13.4;A;101138;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;111.509;8.4;1986;3;Comilla;Comilla;Comilla;Comilla;23.28970664;91.29295847;interpolate
N1;117.627;Box Culvert;LRP118d;BALUZURI 2 CULVERT;2.6;A;101184;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;117.627;12.2;1984;1;Comilla;Comilla;Comilla;Comilla;23.23979203;91.31257409;interpolate
N1;118.049;Box Culvert;LRP119a;KALIR BAZAR BOX CULVERT;2.5;A;101185;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;118.049;12.2;1990;1;Comilla;Comilla;Comilla;Comilla;23.23607595;91.3129902;interpolate
N1;119.628;Box Culvert;LRP120b;CHADDAGRAM BAZAR BOX CULVERT;6;A;101192;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;119.628;9.5;1984;1;Comilla;Comilla;Comilla;Comilla;23.2220339;91.31370059;interpolate
N1;121.567;Box Culvert;LRP122a;FALGUNCORA CULVERT;6.1;A;101198;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;121.567;11.85;1984;1;Comilla;Comilla;Comilla;Comilla;23.20503863;91.31631673;interpolate
N1;122.603;Box Culvert;LRP123a;ATTOCK GRAM BOX CULVERT;6.1;A;101201;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;122.603;12;1984;1;Comilla;Comilla;Comilla;Comilla;23.1961888;91.31767051;interpolate
N1;126.448;Box Culvert;LRP127a;ANDAJER BAZER BOX CULVERT;9.5;A;101214;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;126.448;10.5;1992;2;Comilla;Comilla;Comilla;Comilla;23.16351387;91.32158895;interpolate
N1;130.912;Box Culvert;LRP131b;HASO BOTHACH BOX CULVERT;6.5;A;101229;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;130.912;12.2;1984;1;Comilla;Comilla;Comilla;Comilla;23.12523636;91.33038637;interpolate
N1;133.155;Box Culvert;LRP134a;Chanara Box Culvert;6.1;A;101167;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;133.155;9.5;1984;1;Comilla;Comilla;Comilla;Comilla;23.10742845;91.34004954;interpolate
N1;134.974;Box Culvert;LRP136a;PODOYA BOX CULVERT;3.1;A;101193;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;134.974;12.3;1984;1;Comilla;Comilla;Comilla;Comilla;23.09302984;91.34783084;interpolate
N1;136.375;Box Culvert;LRP137a;UTTOR KAIEATI CULVERT;3.5;A;101204;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;136.375;12.2;1994;1;Comilla;Comilla;Comilla;Comilla;23.08199095;91.35418115;interpolate
N1;141.531;Box Culvert;LRP142a;FATAPUR BOX CULVERT;10.8;A;101226;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;141.531;15.9;1999;2;Comilla;Noakhali;Feni;Feni-1;23.03797281;91.36567847;interpolate
N1;142.793;Slab Culvert;LRP143a;DEBIPUR SLAB CULVERT;1.6;A;101228;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;142.793;12.5;1970;1;Comilla;Noakhali;Feni;Feni-1;23.02698012;91.36550048;interpolate
N1;144.939;Box Culvert;LRP145a;CHARIPUR CULVERT.;3.4;A;101232;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;144.939;13.8;1981;1;Comilla;Noakhali;Feni;Feni-1;23.01240484;91.37797961;interpolate
N1;147.296;Box Culvert;LRP148a;RAMPUR BOX CULVERT;1.5;A;101233;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;147.296;12.45;1970;1;Comilla;Noakhali;Feni;Feni-1;22.99924876;91.3957752;interpolate
N1;148.151;RCC Girder Bridge;LRP149a;RAMPUR BRIDGE;23.4;A;101234;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;148.151;12.4;1986;3;Comilla;Noakhali;Feni;Feni-1;22.99472808;91.40228949;interpolate
N1;148.174;PC Girder Bridge;LRP149b;Rampur Bridge(R);22.15;A;121134;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;148.174;;;;Comilla;Noakhali;Feni;Feni-1;22.99459361;91.40245391;interpolate
N1;148.495;Box Culvert;LRP149c;.;1.9;A;117864;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;148.495;12.4;1999;1;Comilla;Noakhali;Feni;Feni-1;22.99271694;91.4047487;interpolate
N1;158.031;Box Culvert;LRP159a;FAZAILPUR BOXCULVERT;1.5;A;101241;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;158.031;10.3;1984;1;Comilla;Noakhali;Feni;Feni-1;22.94860387;91.47949938;interpolate
N1;165.183;PC Girder Bridge;LRP166a;DumGhat Bridge(L);222.43;A;121146;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;165.183;11.12;1974;7;Comilla;Noakhali;Feni;Feni-1;22.91496471;91.52628954;interpolate
N1;165.825;Box Culvert;LRP166c;BUMGAT BOXCULVERT;6.1;A;101270;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;165.825;12.5;1988;2;Comilla;Noakhali;Feni;Feni-1;22.90971289;91.5289285;interpolate
N1;166.479;Slab Culvert;LRP167a;BOROYAR PARA SLUB CULVERT;3;A;101278;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;166.479;12.4;1999;1;Comilla;Noakhali;Feni;Feni-1;22.9042463;91.53162978;interpolate
N1;167.963;Box Culvert;LRP169a;BAROYARHAT BOX CULVERT;3;A;101236;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;167.963;12.5;1990;1;Comilla;Noakhali;Feni;Feni-1;22.8916386;91.5354719;interpolate
N1;169.933;Box Culvert;LRP171a;UTTOR SONAPAR BOX CULVERT;4.3;A;101239;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;169.933;12.5;1991;2;Comilla;Noakhali;Feni;Feni-1;22.87469869;91.54088366;interpolate
N1;170.174;Box Culvert;LRP171b;CHAIRMEN BARI BOX CULVERT;2;A;101240;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;170.174;10.3;1985;1;Chittagong;Chittagong;Chittagong;Sitakunda;22.87272203;91.54159588;interpolate
N1;170.725;Box Culvert;LRP171c;MADDAM SONAPAR(1) BOX CULVERT;1.5;A;101242;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;170.725;12.5;1988;1;Chittagong;Chittagong;Chittagong;Sitakunda;22.86805637;91.54329633;interpolate
N1;171.554;Box Culvert;LRP172a;DHARBAR TILA CULVERT;4.3;A;101245;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;171.554;12.55;1996;2;Chittagong;Chittagong;Chittagong;Sitakunda;22.86098769;91.54515517;interpolate
N1;171.728;Box Culvert;LRP172b;MADDUM SONAPHAR-3;2;A;101247;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;171.728;12.5;1985;1;Chittagong;Chittagong;Chittagong;Sitakunda;22.85948479;91.54548;interpolate
